DateTime,AddedIPs,RemovedIPs
1591469534,0,5
1591471464,2,2
1591473373,2,0
1591475288,3,3
1591478166,23,24
1591480101,20,20
1591482010,26,18
1591483932,24,1
1591485861,16,3
1591487767,7,2
1591489686,3,2
1591492568,5,5
1591494501,0,1
1591496436,0,4
1591498334,4,3
1591500275,14,0
1591502171,2,1
1591504087,3,1
1591506968,4,1
1591508898,2,0
1591510810,2,2
1591512728,1,1
1591514661,0,1
1591516566,2,3
1591518487,2,3
1591520444,9,2
1591522334,7,2
1591524498,2,4
1591526416,2,3
1591528342,2,1
1591530250,1,2
1591532166,2,0
1591534102,2,3
1591536010,0,3
1591537928,2,0
1591539861,0,1
1591541769,1,1
1591543699,2,2
1591545641,3,4
1591547532,1,5
1591549463,1,2
1591551403,1,1
1591553539,2,2
1591555449,1,0
1591557367,5,1
1591559320,14,3
1591561233,11,2
1591563139,18,8
1591565052,7,15
1591566969,2,14
1591568890,3,25
1591571767,2,13
1591573690,2,17
1591575621,172,3
1591577530,167,4
1591579451,138,2
1591581383,320,0
1591583292,183,1
1591586167,336,4
1591588102,139,8
1591590013,92,2
1591591932,95,3
1591593865,84,2
1591595770,95,1
1591597688,76,2
1591600567,221,2
1591602498,97,3
1591604409,138,1
1591606347,235,8
1591608250,154,8
1591610166,128,1
1591612085,117,1
1591614981,210,3
1591616898,186,2
1591618825,189,1
1591620736,234,1
1591622653,124,0
1591624585,177,3
1591626486,125,0
1591628490,110,0
1591630349,24,2
1591632268,103,1
1591634418,190,2
1591636335,98,0
1591638265,113,1
1591640181,147,0
1591642090,194,1
1591644026,170,2
1591645930,143,5
1591647854,55,5
1591649783,3,6
1591651955,14,3
1591653938,11,3
1591655802,16,3
1591657699,10,2
1591659618,32,0
1591661549,18,72
1591663460,14,257
1591665417,11,89
1591667304,13,295
1591669215,2,164
1591671133,1,259
1591673150,3,226
1591674970,8,49
1591676890,4,116
1591678857,4,86
1591680732,2,62
1591682665,0,100
1591684570,2,116
1591686524,2,166
1591688412,0,70
1591691289,513,258
1591694171,3,232
1591696090,0,150
1591698023,1,102
1591699936,1,147
1591701852,0,108
1591703784,1,194
1591705692,0,219
1591708568,2,256
1591710504,4,131
1591712409,2,126
1591714332,3,141
1591716265,6,50
1591718169,7,63
1591720087,2,155
1591722975,3,165
1591724907,0,126
1591726812,1,158
1591728732,2,180
1591730668,2,174
1591732569,6,148
1591734488,11,26
1591736445,18,1
1591738701,1,15
1591740727,1,39
1591742658,1,31
1591744574,3,43
1591746492,1,59
1591748426,7,39
1591750333,2,23
1591752253,1,38
1591754186,0,15
1591756092,1,2
1591758093,2,2
1591760016,3,5
1591761868,0,14
1591763773,3,17
1591765709,5,15
1591767611,2,15
1591769532,6,0
1591771464,3,2
1591773369,3,1
1591775288,8,0
1591777223,2,511
1591779132,7,3
1591781054,2,1
1591782980,1,1
1591784913,1,1
1591787774,226,2
1591789690,370,0
1591791644,207,0
1591793589,172,2
1591795481,150,4
1591797366,337,0
1591799299,178,3
1591802180,452,3
1591804086,28,3
1591806008,3,10
1591807942,3,5
1591809871,1,2
1591811782,1,2
1591813702,3,3
1591816569,5,5
1591818495,2,3
1591820423,2,5
1591822332,3,26
1591824249,2,3
1591826184,1,3
1591828086,3,1
1591830966,2,6
1591832886,3,3
1591834821,3,5
1591836729,1,4
1591838654,2,2
1591840585,4,0
1591842491,1,2
1591845371,5,4
1591847290,0,5
1591849225,4,6
1591851162,5,4
1591853062,25,3
1591854990,45,3
1591856890,24,8
1591858835,19,3
1591860751,9,5
1591862660,4,8
1591864571,5,2
1591866557,2,5
1591868417,2,2
1591870340,3,0
1591872268,3,2
1591874167,4,223
1591876091,1,372
