DateTime,AddedIPs,RemovedIPs
1591114595,0,2
1591118424,0,1
1591122265,1,1
1591126098,1,7
1591128972,2,3
1591130920,2,2
1591132829,0,3
1591140737,1,1
1591142682,0,1
1591144595,1,2
1591146494,0,1
1591148411,1,1
1591150345,2,1
1591154170,1,0
1591158037,0,1
1591159934,0,1
1591167861,0,1
1591169784,2,2
1591177452,1,1
1591179613,0,4
1591181546,1,1
1591187545,0,2
1591189523,1,0
1591191415,2,0
1591193302,1,0
1591195212,0,1
1591197394,1,0
1591201283,2,0
1591203147,2,0
1591205052,2,0
1591206974,1,0
1591208890,1,1
1591210908,0,2
1591212744,0,1
1591214909,0,2
1591216821,0,2
1591220669,2,0
1591224494,3,0
1591226410,2,0
1591228336,2,0
1591232178,1,1
1591236086,1,2
1591237944,0,1
1591239860,0,1
1591245611,1,0
1591247545,1,0
1591251374,1,0
1591255213,2,1
1591257128,0,1
1591262895,0,1
1591264886,1,0
1591266736,1,3
1591268663,0,1
1591270834,5,1
1591272731,1,0
1591276570,1,1
1591278492,0,3
1591280422,1,0
1591282334,1,1
1591288088,1,2
1591290968,2,2
1591292891,1,1
1591294823,0,2
1591296730,3,0
1591300580,1,0
1591302514,1,1
1591305390,2,0
1591307290,1,1
1591309226,0,1
1591311132,0,1
1591313104,0,1
1591314982,1,2
1591318857,0,2
1591320748,0,2
1591322916,5,0
1591326736,1,0
1591328664,1,0
1591332497,1,0
1591334422,0,2
1591336329,0,1
1591340184,0,1
1591342354,1,1
1591344254,2,0
1591350013,1,0
1591351934,0,2
1591353876,3,0
1591355780,1,0
1591357692,1,4
1591359622,1,1
1591361534,2,0
1591363456,1,1
1591365383,1,0
1591367299,0,1
1591369249,0,1
1591374973,0,1
1591376905,1,1
1591378811,0,1
1591380730,0,1
1591382682,0,3
1591388423,1,1
1591390332,1,2
1591392273,0,2
1591394183,1,0
1591400887,2,1
1591402821,1,0
1591404729,0,1
1591406695,1,0
1591408581,0,3
1591411467,0,1
1591413390,0,1
1591417292,1,0
1591419387,1,1
1591424169,1,0
1591428016,0,1
1591429928,1,1
1591431862,1,1
1591435689,1,0
1591440732,0,4
1591444569,1,2
1591446489,1,2
1591449395,0,2
1591451303,2,0
1591458967,1,0
1591462893,1,2
1591466703,2,0
1591472408,4,0
1591474342,0,1
1591476252,2,1
1591480102,2,1
1591483933,2,0
1591485864,0,1
1591487768,1,1
1591492588,1,1
1591494503,3,0
1591496441,2,0
1591498335,1,0
1591504089,1,2
1591506092,0,1
1591508012,1,0
1591510102,0,1
1591512011,0,1
1591515852,1,0
1591517770,0,1
1591521610,1,3
1591523536,2,0
1591525467,1,0
1591529290,0,1
1591531310,3,0
1591533136,0,1
1591536989,1,0
1591538912,0,1
1591544653,0,1
1591546582,1,0
1591548492,4,1
1591550419,2,1
1591552367,1,0
1591554252,0,1
1591558393,0,2
1591562423,0,1
1591564330,1,2
1591566256,0,2
1591568423,2,0
1591570337,0,2
1591572256,1,1
1591574182,0,1
1591576089,1,0
1591579964,1,3
1591581939,1,3
1591583784,1,2
1591589548,1,0
1591591451,0,1
1591593371,1,0
1591595305,2,0
1591597224,0,1
1591601076,3,0
1591602984,2,2
1591605263,4,0
1591607067,0,1
1591608979,1,2
1591610915,0,1
1591612814,1,0
1591614983,1,0
1591616900,0,1
1591618827,0,1
1591626498,1,0
1591632502,1,0
1591634420,1,3
1591636337,0,2
1591638266,0,1
1591640183,1,1
1591644028,2,0
1591645932,2,0
1591649785,1,1
1591651957,0,2
1591653941,2,2
1591657703,2,0
1591659620,1,1
1591661550,2,1
1591663462,4,1
1591665435,2,1
1591667307,2,1
1591669217,1,1
1591671135,1,0
1591673153,2,0
1591674972,1,0
1591676897,1,1
1591678978,1,0
1591680969,0,2
1591682893,1,0
1591686976,0,1
1591688890,0,4
1591690827,0,3
1591692732,1,0
1591694653,3,2
1591698500,0,1
1591701376,0,2
1591707133,2,0
1591709068,1,0
1591712893,1,1
1591716011,2,0
1591717930,0,1
1591719868,1,1
1591721772,1,0
1591723686,3,0
1591727532,2,0
1591729703,2,2
1591733541,1,0
1591735450,1,0
1591737753,1,0
1591739771,1,2
1591741700,3,0
1591743735,0,1
1591745551,0,2
1591747556,1,1
1591749390,1,3
1591753220,0,1
1591755131,1,2
1591757065,1,2
1591758968,2,2
1591762823,3,2
1591764738,0,1
1591768581,0,2
1591773370,0,1
1591779134,0,1
1591781056,0,2
1591784915,0,1
1591790661,1,0
1591792834,0,2
1591796660,0,1
1591800747,0,3
1591806506,0,1
1591808435,1,2
1591810335,0,2
1591812274,4,0
1591814202,0,3
1591816111,0,1
1591819929,2,1
1591821865,0,3
1591825687,3,2
1591827623,3,0
1591829529,0,1
1591831466,1,1
1591833403,0,1
1591835287,0,3
1591837288,2,2
1591839147,1,0
1591841058,1,1
1591842973,0,1
1591847787,2,0
1591849687,0,3
1591852568,1,0
1591854493,1,0
1591858346,1,0
1591860251,1,1
1591862183,1,0
1591864093,3,0
1591871771,1,0
1591873713,3,0
1591879471,3,0
1591890999,1,0
1591893259,1,0
1591896973,0,1
1591898894,1,2
1591900822,1,0
1591904651,0,1
1591906580,1,0
1591908498,2,0
1591912331,0,2
1591914262,0,1
1591916217,1,0
1591918091,1,1
1591920975,1,0
1591922908,1,2
1591924826,0,2
1591926732,1,0
1591928663,1,0
1591932487,0,1
1591935610,2,1
1591939468,0,1
1591943292,1,0
1591945320,0,1
1591949055,0,2
1591950982,1,1
1591952900,0,1
1591958653,1,2
1591960821,0,6
1591966574,0,3
1591973312,1,1
1591977145,2,0
1591979062,0,1
1591980990,2,0
1591982889,2,0
1591985774,0,2
1591987711,0,1
1591989651,1,0
1591991531,1,0
1591993448,3,1
1591995409,1,1
1591997289,1,0
1591999300,2,1
1592003340,2,1
1592005208,2,1
1592007130,1,1
1592008954,1,2
1592010971,4,1
1592012907,0,1
1592014813,1,1
1592016734,1,0
1592018657,1,0
1592020569,0,2
