DateTime,AddedIPs,RemovedIPs
1591486586,19,18
1591488497,11,16
1591490413,8,23
1591492343,16,20
1591494254,6,17
1591496196,9,19
1591498099,15,15
1591500024,533,11
1591501929,482,12
1591503861,20,14
1591505765,42,12
1591507691,9,8
1591510566,15,10
1591512502,18,10
1591514414,13,9
1591516328,13,13
1591518262,18,14
1591520168,10,13
1591522088,13,14
1591524973,11,21
1591526901,15,16
1591528817,12,10
1591530754,10,12
1591532665,18,12
1591534566,18,14
1591536490,11,10
1591538489,17,12
1591540479,14,10
1591542488,15,8
1591544419,7,8
1591546334,5,5
1591548249,3,6
1591550179,8,3
1591552088,5,8
1591554010,9,10
1591555941,12,19
1591557855,1242,8
1591559768,1839,12
1591561697,1538,11
1591564578,2104,9
1591566487,12,9
1591568423,9,8
1591570337,14,12
1591572257,15,14
1591574183,8,12
1591576090,10,4
1591578141,16,13
1591579965,16,3
1591581940,13,8
1591583785,15,8
1591585698,12,4
1591587610,7,625
1591589549,13,32
1591591452,13,28
1591593372,12,10
1591595306,11,10
1591597225,9,9
1591599155,3,11
1591601077,8,7
1591602985,13,11
1591605264,60,18
1591607067,12,6
1591608980,17,9
1591610915,16,4
1591612815,10,8
1591614983,13,14
1591616901,11,8
1591618828,14,11
1591620738,13,15
1591622656,11,10
1591624587,9,13
1591626499,10,8
1591628625,7,17
1591630591,17,3
1591632503,15,4
1591634420,6,3
1591636337,4,7
1591638268,13,3
1591640183,14,4
1591642093,748,9
1591644029,17,1061
1591645933,100,1968
1591647856,15,1540
1591649786,27,1859
1591651957,25,620
1591653942,28,9
1591655804,14,19
1591657704,18,16
1591659621,13,23
1591661551,30,13
1591663463,12,14
1591665436,18,19
1591667307,13,19
1591669218,17,16
1591671136,23,16
1591673154,512,15
1591674973,2145,12
1591676897,1222,14
1591678983,1732,14
1591680970,1312,15
1591682894,7,7
1591684831,10,880
1591686976,9,26
1591688891,15,10
1591690828,14,15
1591692733,17,10
1591694654,12,6
1591696583,13,80
1591698501,15,12
1591700438,11,15
1591702355,49,12
1591704316,12,12
1591706189,13,15
1591708099,18,10
1591710013,63,12
1591711949,23,32
1591713863,16,9
1591715769,79,8
1591717714,79,14
1591719611,272,10
1591721536,17,9
1591723463,8,5
