DateTime,Entries,UniqueIPs
1591488744,2457,2457
1591490651,2442,2442
1591492588,2431,2431
1591494504,2413,2413
1591496441,2406,2406
1591498336,2414,2414
1591500297,3388,3388
1591502173,3409,3409
1591504089,3434,3434
1591507209,3444,3444
1591509127,3451,3451
1591511063,3455,3455
1591512970,3459,3459
1591514890,3467,3467
1591516870,3464,3464
1591518845,3466,3466
1591520898,3464,3464
1591522808,3454,3454
1591524745,3450,3450
1591526648,3444,3444
1591528567,3445,3445
1591530502,3443,3443
1591532410,3444,3444
1591534328,3453,3453
1591536261,3456,3456
1591538165,3461,3461
1591540088,3463,3463
1591542978,3490,3490
1591544888,3494,3494
1591546812,3490,3490
1591548739,3484,3484
1591550647,3484,3484
1591552568,3485,3485
1591554503,3489,3489
1591556494,3516,3516
1591558393,5346,5346
1591560502,7028,7028
1591562424,8809,8809
1591564331,10112,10112
1591566256,10153,10153
1591568425,10153,10153
1591570339,10154,10154
1591572258,10156,10156
1591574184,10149,10149
1591576090,10159,10159
1591578159,10165,10165
1591579965,10182,10182
1591581940,10187,10187
1591583786,10180,10180
1591585699,10193,10193
1591587611,9578,9578
1591589550,9559,9559
1591591453,9545,9545
1591593372,9543,9543
1591595307,9545,9545
1591597225,9547,9547
1591599155,9550,9550
1591601077,9550,9550
1591602988,9549,9549
1591605265,9589,9589
1591607093,9595,9595
1591608981,9602,9602
1591610916,9617,9617
1591612816,9620,9620
1591614984,9626,9626
1591616903,9630,9630
1591618828,9633,9633
1591620740,9633,9633
1591622656,9632,9632
1591624589,9627,9627
1591626500,9626,9626
1591628648,9601,9601
1591630593,9619,9619
1591632503,9630,9630
1591634421,9634,9634
1591636338,9632,9632
1591638268,9642,9642
1591640184,9650,9650
1591642094,10386,10386
1591644029,9341,9341
1591645934,7487,7487
1591647856,5969,5969
1591649786,4141,4141
1591651958,3555,3555
1591653943,3578,3578
1591655805,3573,3573
1591657706,3579,3579
1591659621,3574,3574
1591661552,3595,3595
1591663463,3594,3594
1591665437,3589,3589
1591667308,3583,3583
1591669218,3585,3585
1591671137,3594,3594
1591673155,4085,4085
1591674974,6211,6211
1591676899,7411,7411
1591678985,9125,9125
1591680972,10415,10415
1591682894,10416,10416
1591684832,9529,9529
1591686977,9513,9513
1591688891,9523,9523
1591690828,9522,9522
1591692734,9534,9534
1591694654,9543,9543
1591696584,9477,9477
1591698503,9476,9476
1591701377,9507,9507
1591703289,9509,9509
1591705217,9508,9508
1591707133,9514,9514
1591709069,9561,9561
1591710970,9573,9573
1591712893,9572,9572
1591714888,9619,9619
1591716811,9667,9667
1591718720,9864,9864
1591720585,9978,9978
1591722517,9987,9987
1591724413,9983,9983
1591726362,9985,9985
1591728252,9380,9380
1591730170,9388,9388
1591732104,9173,9173
1591734009,9182,9182
1591735931,9256,9256
1591737753,9257,9257
1591739773,9235,9235
1591741700,9236,9236
1591743751,9235,9235
1591745551,9243,9243
1591747556,9238,9238
1591749392,9251,9251
1591751310,9255,9255
1591753221,9254,9254
1591755132,9259,9259
1591757066,9262,9262
1591758969,9202,9202
1591760889,7154,7154
1591762824,5701,5701
1591764738,4170,4170
1591766650,2523,2523
1591768581,2371,2371
1591770491,2330,2330
1591773370,2380,2380
1591775290,2396,2396
1591777225,2402,2402
1591779135,2392,2392
1591781056,2396,2396
1591782984,2389,2389
1591784915,2397,2397
1591787791,2397,2397
1591789691,2387,2387
1591791648,2400,2400
1591793615,2398,2398
1591795483,2396,2396
1591797368,2408,2408
1591799302,2377,2377
1591802193,2310,2310
1591804088,2254,2254
1591806011,1950,1950
1591807944,1949,1949
1591809873,1949,1949
1591811784,1948,1948
1591813703,1953,1953
1591816571,1948,1948
1591818521,1949,1949
1591820424,1948,1948
1591822333,1959,1959
1591824251,1961,1961
1591826185,1974,1974
1591828088,1972,1972
1591830967,1982,1982
1591832887,1984,1984
1591834822,2018,2018
1591836731,2012,2012
1591838656,2013,2013
1591840587,2021,2021
1591842493,2024,2024
1591845373,2011,2011
1591847291,1932,1932
1591849227,1927,1927
1591851187,3493,3493
1591853067,6967,6967
1591855013,10691,10691
1591856894,13336,13336
1591858959,15810,15810
1591860971,16078,16078
1591862904,16223,16223
1591864809,16249,16249
1591866975,16245,16245
1591868887,16255,16255
1591870821,16255,16255
1591872747,16256,16256
1591874650,16258,16258
1591876588,16256,16256
1591878491,16237,16237
1591880516,16229,16229
1591882333,16886,16886
1591884252,16887,16887
1591886187,16886,16886
1591888245,16887,16887
1591890251,16884,16884
1591892181,17506,17506
1591894106,17591,17591
1591896010,18275,18275
1591898009,18652,18652
1591899855,19086,19086
1591901789,20901,20901
1591903712,22044,22044
1591906581,23008,23008
1591908499,23519,23519
1591910427,24007,24007
1591912332,24759,24759
1591914263,25032,25032
1591916219,25520,25520
1591918092,25566,25566
1591920080,25702,25702
1591921931,25659,25659
1591923924,25658,25658
1591925785,25658,25658
1591927693,25658,25658
1591929616,25663,25663
1591931544,25664,25664
1591933463,25673,25673
1591935398,25680,25680
1591937308,25242,25242
1591939209,23633,23633
1591941132,21875,21875
1591943068,20636,20636
1591944975,19961,19961
1591946892,19908,19908
1591949774,19747,19747
1591951706,19774,19774
1591953650,19771,19771
1591955545,19778,19778
1591957465,19786,19786
1591959391,19784,19784
1591961289,19780,19780
1591964175,19782,19782
1591966106,19786,19786
1591968041,19393,19393
1591969940,19094,19094
1591971867,19084,19084
1591973772,19084,19084
1591975705,19084,19084
1591977645,19087,19087
1591979597,18901,18901
1591981490,17904,17904
1591983375,17291,17291
1591985306,16979,16979
1591987218,15742,15742
1591989131,13042,13042
1591991109,10871,10871
1591992978,9544,9544
1591994893,8183,8183
1591996869,6957,6957
1591998733,5329,5329
1592000656,4444,4444
1592002583,3109,3109
1592004491,2945,2945
1592006490,2783,2783
1592008345,2782,2782
1592010499,2784,2784
1592012409,2776,2776
1592014344,2769,2769
1592016253,2765,2765
1592018196,2762,2762
1592020095,2756,2756
1592022011,2751,2751
1592023945,2747,2747
1592025864,2740,2740
1592027784,2734,2734
1592029692,2600,2600
1592031736,1974,1974
1592033568,1982,1982
1592035481,1989,1989
1592037372,1996,1996
1592039319,2004,2004
1592041210,1997,1997
1592043136,1998,1998
1592045067,1964,1964
1592046980,1961,1961
1592048894,1968,1968
1592050826,4133,4133
1592052735,7263,7263
1592054653,7261,7261
1592056585,7268,7268
1592058491,7271,7271
1592061406,7278,7278
1592063312,7273,7273
1592065220,7263,7263
1592067136,8805,8805
1592069072,9964,9964
1592070976,10889,10889
1592072893,12090,12090
1592074921,13199,13199
1592076738,13201,13201
1592078658,13203,13203
1592080585,13201,13201
1592082494,13195,13195
1592084416,13191,13191
1592086355,13124,13124
1592088256,13126,13126
1592090176,13137,13137
1592092112,13139,13139
1592094017,13130,13130
1592096123,13133,13133
1592098333,13128,13128
1592100280,13124,13124
1592102258,13122,13122
1592104094,13126,13126
1592106009,13128,13128
1592107945,13130,13130
1592109849,13132,13132
1592111775,13133,13133
1592113706,13127,13127
1592115612,13133,13133
1592117529,13425,13425
1592119471,13423,13423
1592121369,13420,13420
1592123291,13424,13424
1592125311,13425,13425
1592127131,13430,13430
1592130009,13421,13421
1592131937,13415,13415
1592133865,13418,13418
1592135769,13412,13412
1592137709,9572,9572
1592139534,9566,9566
1592141549,9560,9560
1592143963,9553,9553
1592145856,9550,9550
1592147772,9545,9545
1592149749,9542,9542
1592151619,9534,9534
1592153537,7737,7737
1592155473,6336,6336
1592157400,5239,5239
1592159291,3835,3835
1592161472,2504,2504
1592163384,2509,2509
1592165305,2524,2524
1592167213,2527,2527
1592169151,2533,2533
1592171053,2543,2543
1592172977,2564,2564
1592174907,2568,2568
1592176844,2637,2637
1592178735,2633,2633
1592180673,2653,2653
1592182571,2672,2672
1592184510,2673,2673
1592187386,3142,3142
1592189322,3392,3392
1592191212,3397,3397
1592193148,3397,3397
1592195055,3396,3396
1592196970,3397,3397
1592198908,3405,3405
1592200998,3416,3416
1592202979,3272,3272
1592204908,3493,3493
1592206814,3529,3529
1592208728,3526,3526
1592210693,3515,3515
1592212572,3523,3523
1592214501,3549,3549
1592216479,3999,3999
1592218336,4164,4164
1592220251,4185,4185
1592222193,4228,4228
1592224123,5101,5101
1592226182,6867,6867
1592228171,8122,8122
1592230117,9330,9330
1592232013,10752,10752
1592234571,11548,11548
1592236613,11591,11591
1592238494,11624,11624
1592240479,11648,11648
1592242355,11658,11658
1592244272,11691,11691
1592246171,11715,11715
1592248111,11733,11733
1592250010,11737,11737
1592252180,11732,11732
1592254096,11741,11741
1592256049,11749,11749
1592257939,11738,11738
1592259854,11729,11729
1592261792,11663,11663
1592263692,11676,11676
1592266574,11673,11673
1592268493,11665,11665
1592270556,11672,11672
1592272589,11681,11681
1592274496,11680,11680
1592276477,11696,11696
1592278351,11702,11702
1592280300,11719,11719
1592282176,11738,11738
1592284132,11737,11737
1592286008,11732,11732
1592287960,11731,11731
1592289851,11725,11725
1592291785,11723,11723
1592293709,11715,11715
1592295619,11727,11727
1592297551,11721,11721
1592299486,11729,11729
1592301373,11721,11721
1592303292,11352,11352
1592305339,11552,11552
1592307402,11541,11541
1592309290,11511,11511
1592311212,11491,11491
1592313149,11477,11477
1592315050,10661,10661
1592316968,10407,10407
1592318927,10377,10377
1592320809,10356,10356
1592322734,10335,10335
1592324671,10320,10320
1592326570,10303,10303
1592328489,10300,10300
1592331371,10276,10276
1592333290,10266,10266
1592335214,10258,10258
1592337129,10261,10261
1592339052,10264,10264
1592340989,10268,10268
1592342895,10263,10263
1592345791,10277,10277
1592347702,10286,10286
1592349629,10283,10283
1592351555,10282,10282
1592353482,10277,10277
1592355374,10278,10278
1592357323,10274,10274
1592359406,10281,10281
1592361396,10284,10284
1592363298,10272,10272
1592365212,10277,10277
1592367159,10265,10265
1592369064,10258,10258
1592371007,10268,10268
1592372938,10277,10277
1592374812,10311,10311
1592376758,9935,9935
1592378653,10330,10330
1592380582,10375,10375
1592382532,10400,10400
1592385639,10448,10448
1592387533,10476,10476
1592389456,10502,10502
1592391403,10470,10470
1592393293,10298,10298
1592396169,10283,10283
1592398117,10318,10318
1592400011,10298,10298
1592401954,10278,10278
1592403879,10268,10268
1592405792,10275,10275
1592407691,10274,10274
1592409702,10264,10264
1592411531,10263,10263
1592413460,10258,10258
1592415397,10251,10251
1592417299,10229,10229
1592419210,10243,10243
1592421179,10244,10244
1592423054,10246,10246
1592424970,10264,10264
1592426915,10271,10271
1592428812,10271,10271
1592430731,10289,10289
1592432650,10296,10296
1592434597,10316,10316
1592436493,10316,10316
1592439387,10327,10327
1592441536,10323,10323
1592443453,10327,10327
1592445408,10338,10338
1592447294,10636,10636
1592450172,11535,11535
1592452089,11531,11531
1592454028,11539,11539
1592455937,11540,11540
1592457855,11529,11529
1592459828,11530,11530
1592461692,11528,11528
1592463752,11538,11538
1592465607,11184,11184
1592467465,11169,11169
1592469389,11171,11171
1592471298,11161,11161
1592473215,11152,11152
1592475151,11160,11160
