DateTime,AddedIPs,RemovedIPs
1591483934,2,20
1591485864,4,15
1591487769,7,11
1591489690,3,12
1591492589,18,35
1591494504,8,13
1591496441,2,9
1591498336,4,10
1591500298,1,4
1591502173,1,5
1591504090,0,5
1591507209,19,8
1591509127,2,5
1591511063,1,19
1591512971,1,1
1591514890,1,2
1591516887,0,3
1591518845,1,1
1591520899,1,3
1591522808,2,2
1591524745,2,1
1591526648,2,3
1591528568,27,13
1591530503,69,8
1591532410,17,3
1591534329,8,2
1591536261,9,8
1591538165,12,10
1591540088,8,12
1591542979,12,12
1591544888,6,6
1591546813,2,19
1591548739,4,25
1591550647,2,6
1591552569,2,5
1591554504,2,7
1591556510,3,7
1591558394,4,7
1591560502,6,4
1591562424,6,5
1591564331,0,5
1591566257,5,5
1591568426,6,4
1591570340,6,5
1591572258,1,5
1591574185,2,8
1591576090,1,3
1591578174,4,17
1591580169,16,7
1591582355,25,6
1591584257,16,5
1591586169,6,2
1591588103,3,2
1591590015,7,1
1591591934,7,18
1591593867,27,2
1591595773,6,1
1591597689,8,1
1591600569,16,0
1591602500,1,0
1591604411,4,1
1591606349,57,2
1591608252,19,2
1591610167,3,3
1591612087,5,4
1591614098,8,4
1591615956,16,60
1591617883,14,47
1591619770,15,4
1591621704,13,4
1591623610,8,8
1591625532,19,9
1591627466,22,6
1591629380,20,6
1591631291,16,5
1591633229,39,1
1591635134,16,3
1591637094,9,2
1591638980,16,2
1591640890,14,0
1591643769,15,4
1591645692,7,4
1591647622,17,3
1591649529,9,7
1591651535,29,1
1591653409,8,4
1591655315,12,6
1591657316,13,3
1591659164,13,2
1591661094,20,1
1591662985,14,2
1591664895,12,4
1591666820,10,14
1591668760,9,23
1591670655,11,15
1591672573,9,6
1591674505,4,2
1591676414,5,6
1591678330,12,5
1591680257,9,22
1591682170,10,4
1591684121,7,6
1591686977,9,11
1591688892,9,1
1591690829,12,3
1591692734,7,58
1591694655,13,24
1591696584,10,2
1591698504,8,6
1591701377,11,8
1591703289,11,12
1591705217,39,8
1591707134,18,9
1591709069,40,12
1591710971,8,12
1591712894,11,19
1591714903,8,16
1591716811,8,10
1591718726,9,32
1591720585,2,15
1591722517,3,15
1591724413,13,12
1591726363,7,9
1591728252,36,12
1591730170,19,9
1591732104,19,5
1591734009,9,12
1591735932,4,7
1591737754,4,24
1591739774,4,11
1591741701,7,14
1591743766,6,14
1591745768,5,16
1591747705,21,19
1591749609,7,6
1591751525,7,13
1591753465,15,12
1591755374,5,9
1591757295,8,8
1591759223,7,5
1591761130,6,5
1591763056,9,10
1591765002,11,12
1591766889,14,12
1591768920,3,9
1591770744,10,9
1591772682,8,7
1591774572,12,6
1591776514,38,12
1591778412,13,3
1591780340,14,5
1591782265,17,11
1591784167,13,8
1591786095,13,9
1591788027,5,11
1591789956,29,10
1591791930,8,4
1591793848,15,9
1591795755,14,23
1591797728,54,13
1591799534,56,8
1591801477,42,9
1591803372,8,92
1591805289,16,6
1591807220,79,1
1591809128,11,2
1591811088,10,16
1591812978,12,12
1591814888,12,38
1591816825,5,14
1591818727,6,22
1591820650,6,8
1591822579,12,5
1591824486,10,3
1591826440,10,5
1591828349,7,2
1591830259,4,6
1591832169,8,8
1591834105,10,20
1591836009,1,9
1591837930,13,8
1591839861,13,20
1591841773,8,9
1591843692,24,7
1591845621,11,5
1591847530,53,6
1591849455,4,11
1591851380,9,11
1591853291,4,14
1591856167,7,11
1591858346,7,8
1591860252,5,4
1591862184,24,18
1591864093,11,28
1591867219,9,22
1591869131,66,11
1591871052,13,14
1591872983,7,7
1591874890,17,15
1591877773,32,26
1591879721,12,12
1591881606,15,8
1591883529,29,49
1591885462,44,43
1591887375,83,58
1591889304,2,7
1591891301,1,6
1591893260,1,81
1591895073,2,6
1591896974,4,7
1591898895,2,11
1591900822,6,6
1591902736,4,2
1591904652,3,10
1591906581,6,8
1591908499,7,10
1591910427,5,11
1591912333,4,7
1591914263,14,7
1591916219,0,3
1591918092,2,2
1591921211,9,8
1591923128,3,4
1591925068,3,18
1591926969,4,6
1591928894,0,13
1591930941,4,22
1591932799,2,36
1591934898,0,26
1591936836,1,15
1591938743,6,9
1591940681,2,5
1591942576,4,5
1591944529,6,8
1591946409,1,6
1591948348,16,24
1591950267,8,9
1591952206,3,8
1591954087,1,7
1591957222,18,75
1591959135,2,7
1591961073,3,6
1591962971,3,5
1591964893,2,8
1591966908,4,5
1591968773,8,5
1591970698,6,29
1591972589,5,33
1591974504,7,83
1591976445,7,3
1591978332,15,3
1591980270,10,0
1591982175,3,4
1591984096,3,2
1591986024,4,2
1591987934,2,9
1591989856,2,1
1591991785,6,5
1591993691,5,7
1591996597,8,6
1591998489,37,8
1592000421,3,13
1592002340,7,1
1592004249,2,0
1592006181,5,5
1592008087,1,5
1592010060,2,4
1592011927,5,4
1592014094,2,6
1592016013,3,0
1592018196,2,4
1592020095,3,3
1592022011,4,2
1592023945,7,3
1592025865,4,3
1592027784,3,0
1592029693,5,141
1592031754,4,0
1592033568,0,12
1592035481,1,12
1592037372,8,5
1592039319,17,1
1592041210,10,15
1592043136,9,4
1592045068,14,3
1592046980,12,3
1592048894,19,3
1592050826,25,3
1592052735,11,3
1592054653,8,5
1592056586,4,4
1592058491,9,3
1592061406,19,5
1592063313,5,2
1592065221,7,19
1592067137,6,9
1592069073,13,3
1592070976,4,2
1592072893,5,4
1592074938,4,3
1592076739,7,2
