DateTime,AddedIPs,RemovedIPs
1591465929,4,2
1591467862,0,1
1591469767,3,1
1591471686,0,1
1591474567,2,0
1591476499,0,1
1591478409,3,0
1591480334,1,2
1591482260,0,1
1591484191,1,1
1591486189,1,2
1591488122,2,1
1591489935,0,1
1591491852,2,1
1591493785,2,0
1591495700,0,1
1591499542,1,1
1591501450,1,3
1591503371,1,1
1591505303,1,1
1591507211,2,1
1591509133,1,0
1591511086,0,1
1591512974,1,2
1591518083,1,1
1591519930,0,1
1591521874,1,0
1591523769,1,2
1591525688,2,2
1591528570,1,0
1591530505,0,1
1591532412,5,2
1591534330,1,3
1591536263,1,0
1591538167,1,2
1591540089,1,1
1591542103,3,2
1591543934,0,3
1591545865,2,1
1591547769,1,3
1591549692,2,6
1591551625,0,2
1591553542,1,2
1591555454,1,0
1591557370,3,3
1591561241,2,2
1591563155,1,0
1591565055,2,3
1591566972,3,1
1591568892,0,1
1591571771,16,2
1591573692,2,0
1591575623,3,2
1591577531,2,1
1591579453,3,1
1591581386,1,1
1591583294,2,0
1591586182,2,1
1591588105,3,1
1591590016,0,2
1591593868,0,2
1591595775,3,1
1591597691,2,0
1591599703,1,1
1591605630,4,1
1591607537,1,1
1591609452,2,1
1591613296,3,2
1591615223,2,0
1591619053,1,5
1591620980,1,1
1591622913,3,1
1591624895,2,1
1591628677,0,3
1591630594,3,0
1591632521,1,2
1591634422,0,2
1591636339,3,1
1591638270,3,0
1591640186,2,1
1591642096,1,1
1591644031,4,2
1591645936,1,1
1591649789,1,0
1591651960,2,1
1591653955,0,2
1591655806,1,8
1591657710,3,13
1591659624,0,1
1591661554,0,3
1591663466,1,0
1591665439,2,1
1591667309,1,2
1591669220,1,2
1591671139,5,2
1591673158,2,0
1591674976,1,3
1591676901,1,0
1591682896,2,3
1591684833,1,3
1591686979,2,0
1591690830,1,0
1591692737,0,5
1591694657,2,0
1591696587,2,2
1591698506,2,1
1591701379,6,5
1591703291,2,1
1591705219,1,0
1591707136,2,2
1591709072,0,3
1591710973,5,2
1591712896,3,0
1591714991,4,0
1591716813,0,3
1591718739,3,1
1591720588,1,0
1591722519,2,3
1591724416,1,3
1591726367,1,2
1591728254,3,1
1591730172,1,4
1591732106,4,1
1591734011,2,1
1591735934,2,2
1591737756,0,1
1591739776,2,4
1591741703,0,1
1591743813,1,3
1591745769,3,0
1591747708,1,0
1591749613,1,1
1591751527,2,2
1591753467,1,1
1591755376,2,0
1591757296,0,5
1591759225,3,3
1591761132,2,0
1591763059,1,1
1591765008,3,1
1591766891,2,0
1591769011,5,1
1591770971,5,2
1591772928,2,2
1591774822,3,0
1591776731,1,0
1591778662,2,1
1591780592,1,1
1591782489,0,3
1591784421,1,2
1591786329,6,3
1591788248,3,4
1591790180,2,1
1591792356,3,3
1591794268,3,0
1591796206,4,0
1591798151,0,7
1591800031,14,1
1591801939,1,2
1591803855,3,0
1591805790,3,3
1591807694,2,1
1591809613,5,1
1591811568,2,2
1591815369,1,4
1591817287,3,0
1591819347,2,5
1591821151,1,2
1591823059,3,1
1591824982,7,1
1591826906,1,1
1591828826,4,0
1591830732,2,2
1591832674,0,2
1591834673,19,1
1591836516,1,2
1591838424,1,1
1591840337,4,1
1591842256,1,2
1591844191,4,0
1591846092,4,3
1591848972,4,2
1591851189,2,4
1591853085,2,2
1591855014,3,4
1591856896,1,2
1591858993,6,4
1591860973,3,2
1591862906,4,1
1591864811,7,2
1591866977,5,2
1591868889,4,0
1591870822,1,2
1591872749,3,3
1591874652,3,3
1591876592,4,2
1591878492,5,2
1591880612,2,4
1591882587,7,4
1591884494,4,0
1591886431,3,19
1591888246,4,1
1591890252,0,3
1591892183,4,3
1591894107,1,2
1591896012,4,5
1591898022,6,2
1591899857,3,0
1591901790,4,1
1591903713,8,3
1591905698,4,2
1591907567,5,1
1591909467,5,3
1591911375,4,7
1591913554,7,1
1591915455,4,4
1591917403,3,2
1591919309,4,0
1591921212,1,12
1591923129,1,1
1591925069,1,1
1591926971,4,4
1591928895,2,1
1591930982,5,5
1591932800,4,3
1591934899,1,1
1591936839,3,4
1591938744,0,2
1591940683,6,3
1591942577,2,2
1591944530,7,6
1591946410,3,5
1591948350,2,6
1591950268,1,8
1591952209,2,5
1591954088,2,2
1591957236,11,5
1591959136,4,3
1591961074,3,4
1591962973,0,4
1591964895,4,5
1591966943,1,2
1591968775,2,7
1591970700,5,3
1591972589,2,3
1591974504,4,4
1591976445,3,0
1591978332,0,4
1591980271,3,1
1591982175,1,5
1591984096,4,6
1591986025,2,3
1591987934,0,4
1591989856,0,7
1591991785,2,5
1591993692,0,3
1591996597,4,9
1591998489,5,7
1592000422,3,2
1592002340,5,5
1592004249,4,1
1592006182,1,4
1592008088,0,1
1592010078,0,1
1592011928,2,1
1592014096,2,4
1592016014,6,5
1592018197,3,4
1592020097,2,4
1592022017,0,3
1592023946,2,0
1592025866,1,3
1592027786,3,3
1592029694,3,4
1592031795,2,6
1592033768,1,3
1592035727,3,0
1592037609,2,2
1592039530,2,1
1592041463,1,6
1592043640,3,6
1592045534,2,4
1592047451,4,3
1592049386,6,0
1592051317,1,4
1592053266,1,1
1592055143,5,2
1592057080,4,3
1592058969,2,2
1592060919,0,4
1592062810,3,3
1592066653,2,2
1592068574,3,1
1592070509,3,4
1592072409,4,3
1592074330,2,0
1592076269,6,0
1592078195,1,2
1592080334,5,0
1592082277,4,2
1592084184,2,2
1592086102,1,4
1592088015,4,6
1592089948,1,3
1592091853,3,3
1592093774,1,0
1592095707,2,0
1592097613,1,2
1592099559,2,2
1592101478,4,2
1592103375,0,5
1592105538,3,5
1592107498,2,0
1592109409,2,2
1592111308,2,1
1592113231,1,1
1592115151,1,5
1592117070,2,2
1592118978,4,2
1592120911,3,1
1592122856,3,4
1592124734,1,2
1592126674,1,2
1592128575,1,1
1592130494,2,4
1592132592,2,1
1592134584,1,4
1592136526,2,5
1592138660,2,0
1592140697,2,1
1592143148,5,7
1592145134,2,3
1592147070,3,4
1592148983,4,3
1592150898,2,0
1592152809,5,2
1592154748,3,3
1592156660,1,3
1592158574,4,3
1592160511,5,3
1592162411,1,4
1592164423,3,3
1592166270,3,3
1592168174,0,5
1592170110,2,2
1592173237,4,3
1592175130,2,5
1592177072,1,1
1592178970,0,2
1592180914,2,3
1592183019,4,2
1592184970,1,1
1592186893,0,1
1592188828,3,3
1592190729,2,3
1592192651,0,2
1592194584,4,2
1592196513,2,2
1592198408,3,0
1592200343,3,2
1592202252,5,1
1592204185,4,4
1592206111,4,3
1592208127,1,2
1592209951,1,3
1592211887,6,0
1592213771,2,1
1592215709,8,2
1592217613,3,1
1592219532,6,2
1592221496,3,2
1592223386,3,2
1592225289,2,1
1592227226,1,3
1592229130,5,4
1592231066,2,3
1592233605,2,3
1592235630,6,5
1592237779,4,4
1592239693,2,2
1592241630,2,3
1592243537,2,2
1592245456,1,4
1592247415,1,4
1592249294,6,1
1592251325,4,3
1592253151,1,3
1592255088,2,2
1592256970,1,0
1592258950,6,4
1592260812,1,1
1592262732,3,2
1592264670,2,0
1592266576,2,1
1592268495,2,4
1592270558,2,2
