DateTime,AddedIPs,RemovedIPs
1591490185,9,20
1591492090,7,19
1591494014,8,12
1591495943,7,23
1591497858,22,13
1591499770,12,16
1591501709,10,12
1591503614,14,9
1591505533,12,10
1591507465,12,10
1591509383,13,22
1591511296,12,11
1591514173,13,18
1591516104,8,19
1591518098,14,12
1591519932,18,16
1591521876,10,10
1591523771,8,14
1591525690,16,7
1591528820,21,21
1591530755,20,31
1591532666,14,21
1591534568,12,10
1591536492,7,6
1591538542,17,10
1591540481,6,7
1591542290,12,17
1591544189,8,13
1591546099,9,23
1591548029,4,16
1591549934,6,7
1591551880,22,19
1591553788,7,20
1591555693,8,15
1591557625,2,18
1591559574,5,8
1591561490,16,12
1591563385,16,12
1591565305,16,10
1591567293,12,16
1591569142,6,27
1591571320,13,9
1591573316,26,12
1591575142,15,18
1591577070,12,7
1591578982,7,10
1591580921,15,10
1591582818,13,6
1591584768,24,13
1591586667,8,16
1591588580,14,14
1591590536,23,15
1591592481,17,10
1591594340,8,6
1591596324,13,15
1591598218,11,12
1591600099,18,8
1591602015,7,5
1591603969,8,15
1591605857,23,7
1591607782,15,20
1591609693,16,4
1591611632,6,25
1591613534,12,9
1591615452,21,14
1591617387,25,17
1591619289,10,14
1591621290,15,13
1591623148,10,10
1591625051,5,21
1591627221,20,7
1591629383,10,12
1591631294,10,16
1591633231,15,4
1591635136,11,5
1591637096,20,9
1591638988,20,15
1591640893,15,11
1591642937,6,10
1591644754,8,2
1591646680,6,10
1591648584,22,14
1591650517,13,12
1591652413,14,25
1591654370,8,8
1591656255,12,5
1591658171,14,14
1591660129,22,20
1591662012,2,22
1591663936,5,12
1591665864,8,10
1591667773,11,15
1591669700,13,12
1591671678,11,24
1591673537,10,7
1591675515,4,21
1591677385,13,26
1591679311,10,10
1591681245,24,10
1591683133,8,14
1591685055,11,16
1591686982,9,12
1591688901,6,5
1591690888,12,10
1591692743,9,26
1591694660,15,11
1591696609,10,20
1591698520,6,11
1591700543,8,11
1591702362,15,18
1591704338,12,28
1591706191,11,16
1591708103,7,14
1591710018,8,11
1591711953,11,10
1591713893,22,12
1591715773,9,10
1591717732,20,11
1591719618,2,14
1591721548,22,11
1591723467,12,10
1591725374,11,14
1591727290,14,14
1591729388,6,11
1591731386,13,9
1591733337,7,10
1591735226,18,15
1591737762,20,25
1591739779,7,12
1591741708,17,9
1591743824,16,15
1591745772,17,14
1591747756,15,12
1591749618,14,7
1591751529,6,4
1591753470,12,12
1591755379,5,8
1591757305,12,11
1591759229,14,9
1591761136,7,11
1591763062,7,6
1591765013,12,9
1591766898,17,13
1591769111,12,17
1591770974,7,8
1591772931,6,18
1591774824,7,5
1591776734,10,9
1591778665,12,8
1591780595,9,16
