DateTime,AddedIPs,RemovedIPs
1591491172,28,26
1591493067,48,22
1591494974,23,30
1591496894,10,28
1591498972,35,21
1591500982,34,15
1591502889,18,10
1591504809,44,23
1591506746,38,20
1591508652,42,23
1591510569,39,20
1591512507,34,26
1591514419,47,27
1591516331,35,34
1591518265,50,14
1591520170,53,27
1591522092,95,50
1591524155,46,82
1591525960,46,93
1591527890,32,70
1591529787,28,131
1591531721,26,58
1591533638,36,80
1591535547,42,28
1591537452,33,8
1591539677,45,16
1591541593,55,37
1591543453,38,51
1591545380,47,39
1591547304,37,60
1591549369,42,49
1591551406,44,33
1591553547,28,45
1591555457,27,26
1591557373,46,34
1591559325,36,26
1591561246,41,32
1591563158,37,31
1591565057,61,27
1591566975,53,26
1591568894,67,51
1591572020,60,80
1591573942,50,24
1591575851,24,58
1591577780,33,31
1591579688,33,48
1591582820,62,24
1591584770,32,27
1591586669,40,34
1591588581,35,26
1591590537,29,33
1591592550,50,35
1591594582,42,33
1591596756,31,46
1591598652,40,30
1591600572,30,37
1591602504,38,41
1591604414,23,49
1591606381,52,47
1591608255,45,101
1591610170,42,47
1591612091,55,47
1591614149,42,32
1591615957,68,31
1591617887,51,26
1591619772,30,33
1591621705,54,46
1591623612,44,32
1591625534,26,33
1591627467,40,61
1591629385,27,35
1591631296,32,53
1591633233,36,33
1591635138,27,53
1591637098,43,42
1591638992,65,30
1591640895,70,30
1591642991,84,41
1591644969,97,42
1591646904,87,27
1591648835,68,46
1591650732,90,58
1591652667,102,52
1591654573,78,57
1591656509,108,52
1591658412,70,29
1591660435,103,57
1591662265,87,26
1591664170,82,32
1591666092,88,26
1591669006,134,56
1591670901,80,27
1591672810,87,37
1591674729,74,28
1591676676,82,28
1591678570,55,38
1591680500,70,34
1591682466,138,27
1591684333,83,28
1591686224,74,33
1591688171,82,37
1591690155,104,28
1591692009,77,47
1591693931,112,39
1591695864,91,44
1591697772,50,55
1591699941,53,51
1591701857,77,62
1591703790,64,63
1591705696,66,37
1591707762,62,55
1591709785,74,49
1591711693,78,34
1591713610,82,39
1591715560,81,27
1591717450,89,31
1591719406,128,35
1591721315,146,34
1591723212,170,32
1591725130,133,44
1591727063,178,53
1591728967,135,64
1591730893,129,69
