DateTime,AddedIPs,RemovedIPs
1591487773,1,6
1591489691,5,2
1591492591,7,4
1591494506,2,4
1591496444,4,4
1591498339,5,4
1591500301,3,5
1591502176,2,1
1591504092,3,3
1591506169,2,3
1591508015,2,2
1591510106,3,6
1591512015,5,4
1591513946,4,5
1591515855,2,0
1591517771,0,7
1591519706,4,5
1591521613,2,1
1591523539,2,1
1591525470,1,3
1591527398,3,3
1591529292,5,3
1591531394,2,4
1591533384,3,2
1591535295,2,7
1591537211,1,3
1591539165,1,2
1591541052,2,8
1591542981,3,3
1591544891,5,7
1591546816,2,5
1591548743,4,3
1591550650,5,1
1591552578,6,5
1591554509,4,5
1591556620,10,2
1591558588,4,6
1591560506,4,3
1591562429,4,7
1591564362,2,3
1591566261,1,0
1591568473,4,3
1591570345,6,2
1591572263,3,2
1591574191,4,1
1591576094,3,6
1591578255,4,5
1591580173,0,4
1591582360,1,3
1591584264,3,5
1591586187,7,3
1591588109,3,1
1591590020,4,0
1591591940,5,4
1591593872,8,2
1591595782,2,5
1591597695,4,4
1591599837,6,3
1591601787,7,3
1591603694,4,1
1591605634,4,2
1591607542,5,4
1591609458,3,2
1591611374,1,1
1591613302,6,1
1591615229,3,6
1591617142,9,2
1591619057,4,3
1591620986,4,3
1591622920,3,1
1591625093,5,1
1591627223,6,3
1591629386,2,3
1591631297,2,5
1591633235,3,2
1591635140,3,4
1591637099,1,5
1591638993,12,6
1591640896,0,4
1591642997,3,9
1591644970,4,4
1591646905,0,3
1591648836,2,4
1591650733,3,2
1591652668,7,0
1591654574,2,2
1591656510,5,7
1591658413,7,4
1591660435,1,3
1591662266,4,1
1591664171,4,5
1591666094,6,0
1591669006,2,2
1591670902,2,4
1591672811,3,6
1591674730,4,3
1591676677,3,3
1591678571,1,7
1591680501,4,8
1591683407,2,5
1591685287,3,6
1591687225,9,5
1591689131,4,5
1591691050,7,4
1591692986,8,7
1591694888,4,2
1591696965,9,1
1591698972,4,5
1591700925,3,4
1591702813,3,3
1591704754,4,9
1591706651,2,7
1591708572,3,3
1591710511,1,5
1591712416,8,2
1591714337,6,5
1591716269,9,2
1591718177,9,2
1591720091,4,4
1591722147,6,2
1591724184,6,0
1591726372,4,1
1591728258,4,3
1591730176,3,1
1591732109,0,5
1591734014,1,1
1591735938,0,2
1591737765,3,5
1591739782,6,4
1591741710,0,2
1591743828,5,6
1591745774,6,5
1591747760,1,1
1591749621,5,6
1591751530,0,3
1591753472,7,4
1591755381,1,1
1591757307,2,2
1591759230,5,2
1591761138,3,4
1591763074,3,2
1591765015,2,1
1591766899,2,4
1591769116,3,2
1591770976,2,2
1591772933,2,9
1591774827,4,3
1591776763,6,7
1591778667,6,8
1591780597,4,5
1591782495,4,4
1591784436,5,6
1591786334,6,3
1591788257,4,4
1591790189,4,2
1591792384,3,4
1591794406,4,2
1591796211,4,2
1591798260,1,7
1591800357,6,6
1591802197,9,10
1591804092,3,9
1591806015,5,4
1591807949,4,7
1591809876,2,4
1591811791,7,5
1591813710,1,4
1591815776,5,3
1591817772,4,2
1591819713,5,2
1591821618,8,1
1591823532,2,4
1591825486,2,5
1591827370,3,0
1591829293,3,1
1591831228,2,9
1591833139,7,3
1591835054,4,3
1591836987,5,3
1591838889,2,2
1591841777,4,4
1591843694,5,2
1591845623,4,5
1591847533,1,3
1591849458,3,3
1591851384,4,2
1591853294,3,2
1591856169,4,4
1591858377,3,3
1591860256,6,3
1591862189,2,6
1591864097,5,2
1591866173,3,8
1591868040,2,3
1591869864,2,5
1591871775,1,5
1591873718,2,3
1591875615,3,3
1591877566,5,4
1591879474,2,3
1591881374,6,4
1591883319,6,2
1591885214,4,1
1591887141,7,9
1591889071,5,6
1591891003,2,4
1591893264,3,5
1591895076,4,1
1591896977,5,6
1591898897,0,3
1591900825,4,4
1591902738,5,8
1591904654,4,2
1591906585,5,2
1591908504,2,8
1591910432,5,4
1591912337,6,2
1591914267,8,3
1591916224,5,1
1591918095,7,2
1591921218,6,10
1591923135,5,5
1591925073,2,3
1591926975,2,2
1591928899,4,4
1591931023,0,5
1591932982,3,3
1591934903,2,1
1591936843,2,4
1591938747,2,7
1591940688,3,0
1591942624,4,5
1591944539,2,4
1591946417,8,6
1591948396,4,3
1591950274,6,5
1591952218,2,2
1591954095,9,2
1591957243,6,2
1591959142,3,1
1591961082,1,4
1591962980,1,4
1591964901,5,2
1591967074,2,3
1591968993,3,6
1591970929,1,5
1591972816,7,8
1591975021,3,6
1591976981,5,2
1591978827,2,2
1591980740,3,3
1591982655,4,4
1591984601,2,1
1591986493,5,3
1591989376,4,8
1591991295,3,6
1591993225,1,5
1591995151,2,2
1591997056,4,4
1591998992,5,7
1592000927,5,7
1592002999,5,5
1592004972,4,5
1592006937,0,4
1592008960,5,4
1592010977,5,3
1592012923,3,2
1592014821,3,2
1592016742,6,1
1592018689,2,3
1592020575,3,1
1592022512,8,2
1592024678,6,4
1592026577,2,3
1592028510,1,6
1592030409,3,2
1592032583,8,8
1592034500,4,2
1592036427,3,6
1592038339,6,2
1592040258,3,9
1592042195,6,5
1592044095,3,4
1592046985,14,4
1592048898,2,1
1592050830,3,4
1592052740,4,2
1592054658,4,5
1592056591,0,1
1592058498,4,3
1592060642,5,5
1592062586,6,3
1592064546,1,3
1592066414,3,3
1592068378,4,0
1592070257,5,4
1592072180,5,2
1592074109,7,5
1592076011,3,4
1592077934,5,4
1592080018,6,1
1592082975,12,5
1592084942,3,2
1592086817,1,4
1592088763,5,6
1592090697,5,4
1592092572,2,2
1592094493,1,3
1592097379,4,8
1592099313,1,3
1592101240,2,3
1592103137,7,6
1592105071,2,2
1592106988,3,3
1592108897,5,8
1592111084,11,6
1592112993,1,2
1592114904,4,1
1592116833,6,4
1592118746,6,7
1592120654,2,5
1592122579,1,3
1592124509,9,7
1592126414,6,1
1592128335,2,7
1592130276,1,2
1592132172,5,12
1592134093,5,3
1592136282,1,3
1592138366,1,5
1592140229,2,4
1592143344,8,0
1592145389,0,5
1592147296,4,5
1592149217,3,6
1592151148,2,3
1592153053,5,4
1592154971,6,3
1592156908,5,5
1592158812,8,4
1592160760,4,4
1592162671,4,4
1592164582,2,5
1592166517,4,4
1592168588,3,7
1592170597,3,7
1592172494,1,1
1592174411,4,4
1592176348,2,5
1592178255,0,3
1592180178,6,1
1592182105,6,0
1592184009,3,3
1592185946,0,3
1592187855,2,1
1592189774,3,8
1592191706,3,1
1592193681,3,4
1592195532,6,4
1592197470,4,11
1592199369,4,1
1592201323,4,4
1592203253,7,4
1592205133,2,7
1592207078,4,3
1592208972,5,2
1592210902,7,9
1592212828,5,7
1592214773,4,2
1592216653,7,1
1592218593,5,4
1592220496,1,5
1592223390,3,1
1592225292,2,3
1592227257,4,4
1592229133,1,6
1592231068,0,2
1592233623,5,3
1592235640,8,4
1592237785,11,2
1592239698,6,4
1592241646,5,6
1592243546,2,8
1592245496,2,6
1592247431,1,3
1592249306,5,3
1592251488,4,3
1592253384,2,5
1592255319,6,3
1592257218,1,1
1592259132,4,3
1592261073,3,4
1592262982,5,1
1592264898,3,1
1592266830,0,5
1592268762,5,4
1592270564,3,3
1592272597,9,1
1592274506,4,2
1592276626,2,1
1592278578,5,3
1592280517,6,5
1592282422,3,6
1592284335,4,6
1592286278,1,4
1592288421,4,4
1592290355,5,6
1592292281,4,2
1592294187,6,5
1592296118,4,7
1592299013,6,9
1592300916,8,3
1592302818,2,5
1592304742,6,4
1592306680,2,1
1592308600,3,2
1592310826,6,2
1592312926,13,1
1592314825,3,4
1592316764,3,0
1592318724,6,4
1592320603,2,3
1592322535,2,4
1592324427,2,11
1592326344,4,8
1592328280,9,2
1592330179,2,2
1592332423,4,4
1592334408,2,4
1592336459,7,3
1592338335,6,4
1592340323,8,2
1592342182,9,5
1592344092,4,3
1592346035,2,4
1592347936,6,4
1592349858,5,2
1592351827,4,3
1592353946,4,0
1592355909,4,4
1592357920,4,3
1592360002,6,7
1592361868,3,2
1592363774,5,4
1592365719,4,8
1592367615,4,3
1592369536,4,7
1592371514,4,3
1592373387,2,1
1592375546,4,7
1592377493,3,4
1592379380,4,7
1592381310,3,2
1592383251,2,3
1592385165,7,4
1592387084,5,5
1592388990,1,3
1592390909,3,5
1592392841,4,2
1592394764,11,3
1592396686,9,7
1592398578,3,12
1592400681,8,4
1592402668,5,1
1592404601,3,10
1592406509,3,3
1592408418,1,2
1592410414,3,2
1592412264,7,5
1592414176,6,6
1592416132,4,7
1592418026,5,5
1592419939,2,1
1592421914,3,3
1592423783,2,5
1592425701,4,10
1592427830,5,10
1592429954,4,5
1592431936,9,2
1592433884,3,5
1592435783,6,5
1592437700,1,6
1592439654,0,4
1592441559,2,2
1592443461,3,6
1592445415,3,4
1592447302,5,3
1592449390,5,6
1592451394,6,5
1592455216,8,5
1592457135,2,5
1592459112,5,3
1592461223,0,4
1592463216,3,3
1592465078,7,1
1592466983,4,5
1592468899,4,4
1592471083,7,5
1592472994,1,7
1592474904,3,2
