DateTime,AddedIPs,RemovedIPs
1591491175,23,50
1591493072,40,38
1591494976,46,24
1591496897,32,14
1591499028,34,26
1591500985,27,20
1591502890,23,22
1591504811,28,35
1591506748,35,30
1591508654,33,27
1591510571,26,30
1591512510,36,34
1591514421,39,28
1591516333,50,39
1591518267,25,36
1591520172,29,23
1591522095,29,27
1591524189,29,28
1591526184,24,41
1591528096,20,36
1591530033,20,41
1591531967,21,32
1591533852,45,24
1591535800,24,35
1591537727,50,46
1591539679,42,25
1591541595,14,32
1591543455,24,30
1591545382,17,23
1591547307,17,16
1591549375,10,33
1591551409,8,54
1591553549,4,36
1591555460,20,28
1591557376,54,25
1591559327,37,32
1591561248,30,47
1591563161,11,62
1591565060,8,40
1591566995,42,38
1591568897,44,21
1591570979,22,29
1591572978,33,20
1591574905,28,29
1591576809,39,14
1591578733,66,30
1591580662,41,51
1591582822,29,41
1591584773,25,43
1591586672,24,18
1591588584,64,28
1591590539,64,19
1591592629,56,48
1591594584,41,33
1591596757,24,31
1591598654,38,36
1591600574,90,37
1591602505,46,56
1591604416,32,22
1591606383,15,37
1591608256,22,27
1591610172,30,27
1591612092,33,20
1591614194,31,27
1591616171,21,19
1591618107,22,25
1591620034,41,48
1591621938,38,33
1591623865,34,52
1591625770,32,39
1591627691,39,22
1591629623,19,28
1591631541,22,12
1591633458,30,19
1591635384,52,6
1591637290,34,8
1591640189,55,4
1591642108,34,23
1591644035,41,46
1591645940,34,36
1591647862,26,31
1591649792,43,16
1591651974,41,13
1591653960,48,45
1591655810,34,33
1591657716,22,25
1591659647,29,31
1591661557,15,28
1591663470,17,35
1591665443,34,67
1591667312,28,33
1591669224,15,27
1591671142,35,23
1591673171,21,28
1591674979,28,59
1591676912,40,60
1591678995,47,48
1591680985,22,39
1591682900,26,15
1591684837,36,37
1591687004,30,100
1591688903,30,43
1591690890,28,38
1591692745,34,16
1591694662,27,20
1591696615,34,25
1591698522,38,35
1591700628,30,27
1591702590,25,22
1591704755,38,28
1591706652,25,35
1591708573,26,46
1591710512,26,35
1591712417,27,30
1591714340,22,37
1591716270,30,19
1591718178,26,18
1591720092,34,35
1591722196,29,59
1591724192,39,39
1591726384,37,38
1591728259,32,40
1591730177,21,39
1591732110,32,33
1591734015,38,25
1591735939,43,43
1591737766,41,31
1591739783,23,51
1591741711,16,48
1591743829,38,17
1591745775,62,30
1591747761,33,23
1591749622,33,12
1591751531,32,28
1591753473,44,35
1591755381,28,20
1591757308,51,33
1591759231,27,20
1591761139,26,27
1591763075,31,39
1591765016,19,49
1591766901,30,21
1591769117,40,30
1591770977,17,35
1591772934,19,35
1591774829,32,27
1591776764,39,26
1591778668,47,31
1591780598,27,26
1591782496,32,35
1591784437,34,36
1591786336,33,39
1591788258,47,18
1591790190,48,31
1591792387,34,36
1591794409,23,23
1591796212,35,17
1591798261,33,32
1591800360,24,30
1591802198,25,28
1591804093,24,27
1591806016,29,26
1591807950,51,24
1591809877,29,27
1591811792,38,28
1591813711,38,35
1591815788,40,24
1591817773,31,28
1591819714,35,31
1591821619,49,38
1591823533,39,36
1591825487,26,29
1591827372,23,9
1591829295,19,21
1591831229,25,35
1591833170,60,37
1591835054,30,19
1591836988,35,29
1591838890,27,40
1591841778,38,27
1591843696,46,37
1591845624,41,27
1591847534,40,24
1591849459,27,69
1591851411,21,92
1591853295,19,35
1591856171,45,52
1591858378,33,20
1591860258,33,21
1591862190,33,34
1591864098,33,47
1591866179,19,43
1591868042,24,31
1591869867,29,24
1591871776,32,24
1591873719,40,39
1591875616,27,54
1591877568,26,33
1591879476,29,30
1591881375,15,23
1591883321,14,32
1591885215,15,26
1591887142,29,18
1591889072,21,27
1591891004,34,27
1591893266,41,45
1591895077,35,39
1591896978,24,23
1591898898,34,31
1591900826,27,32
1591902739,21,23
1591904656,29,30
1591906586,36,42
1591908505,54,49
1591910434,36,31
1591912338,32,22
1591914269,22,15
1591916226,32,10
1591918097,28,31
1591920192,48,58
1591922183,25,36
1591924090,33,16
1591926010,31,23
1591927945,21,23
1591929917,30,41
1591931781,33,41
1591933714,26,38
1591935614,30,28
1591937533,41,21
1591939472,43,123
1591941368,30,28
1591943294,25,32
1591945400,25,30
1591947384,29,32
1591949292,26,33
1591951212,19,26
1591953148,27,19
1591955056,34,32
1591957245,34,51
1591959145,27,36
1591961084,23,25
1591962982,18,24
1591964903,33,33
1591967077,31,23
1591968995,34,12
1591970931,28,16
1591972819,20,25
1591975023,26,28
1591976999,34,37
1591978829,17,34
1591980751,11,34
1591982657,20,30
1591984603,19,33
1591986495,28,26
1591989378,41,28
1591991297,40,24
1591993227,28,37
1591995153,38,45
1591997068,19,29
1591998994,36,33
1592000928,24,16
1592003001,33,38
1592004974,59,36
1592006938,54,47
1592008961,19,18
1592010979,19,32
1592012926,21,23
1592014823,33,15
1592016743,42,24
1592018710,26,33
1592020577,22,15
1592022521,32,30
1592024681,44,34
1592026579,52,28
1592028512,45,25
1592030411,30,21
1592032584,28,97
1592034502,33,30
1592036429,24,24
1592038341,27,22
1592040260,26,20
1592042196,26,26
1592044096,14,24
1592046987,32,23
1592048900,33,17
1592050832,23,34
1592052742,18,22
1592054660,27,32
1592056592,41,32
1592058500,26,19
1592060693,34,24
1592062588,39,30
1592064548,16,19
1592066416,46,18
1592068380,38,9
1592070259,37,18
1592072182,21,21
1592074110,18,29
1592076013,24,17
1592077935,28,29
1592080020,37,39
1592082977,49,112
1592084990,41,32
1592086819,22,23
1592088765,40,27
1592090699,39,52
1592092574,48,62
1592094514,24,28
1592097382,41,29
1592099315,47,19
1592101242,38,35
1592103139,25,42
1592105073,24,28
1592106989,32,18
1592108899,29,35
1592111102,51,41
1592112995,22,55
1592114906,24,41
1592116835,25,33
1592118747,20,22
1592120656,45,42
1592122581,24,24
1592124511,17,27
1592126416,29,31
1592128337,25,25
1592130278,27,15
1592132174,35,13
1592134094,21,35
1592136302,34,32
1592138368,68,23
1592140234,29,20
1592142676,38,45
1592144735,9,24
1592146573,8,39
1592148510,8,30
1592150602,0,29
1592152653,31,40
1592154494,54,39
1592156413,22,46
1592158351,68,22
1592160259,29,22
1592162175,77,27
1592164117,26,32
1592166010,54,31
1592167932,33,37
1592169871,34,32
1592171772,33,38
1592173714,21,19
1592176848,96,63
1592178742,45,52
1592180687,26,31
1592182575,20,27
1592184516,14,41
1592187391,49,50
1592189328,28,26
1592191218,32,17
1592193176,20,32
1592195061,19,30
1592196975,48,44
1592198912,39,22
1592201081,53,21
1592203001,36,12
1592204913,23,14
1592206820,20,25
1592208734,49,14
1592210698,52,11
1592212586,34,13
1592214507,47,18
1592216488,34,18
1592218342,42,15
1592220258,37,5
1592222217,34,7
1592224131,23,45
1592226282,44,36
1592228181,29,23
1592230124,41,8
1592232022,29,3
1592234580,37,8
1592236632,29,1
1592238502,38,3
1592240583,29,201
1592242575,27,26
1592244518,28,17
1592246416,31,15
1592248347,37,123
1592250284,37,17
1592252195,55,39
1592254102,68,25
1592256054,35,18
1592257974,49,16
1592259859,29,12
1592261798,37,38
1592263699,60,41
1592266584,60,35
1592268503,21,15
1592270567,27,7
1592272610,30,15
1592274509,38,13
1592276651,37,16
1592278580,35,99
1592280520,26,14
1592282425,29,105
1592284337,39,88
1592286281,49,92
1592288424,44,51
1592290358,26,23
1592292284,37,19
1592294208,43,37
1592296120,51,48
1592298134,45,41
1592299939,23,29
1592301911,26,45
1592303791,23,48
1592305714,37,44
1592307618,38,21
1592309556,28,29
1592311472,36,34
1592313378,40,34
1592315312,27,37
1592317215,23,35
1592319144,46,27
1592321076,27,25
1592323000,28,27
1592325171,44,50
1592327080,54,22
1592328998,32,17
1592330901,29,25
1592332841,25,29
1592334744,38,32
1592336720,53,30
1592338574,58,48
1592340737,60,67
1592342654,26,26
1592344592,53,49
1592346498,26,24
1592348503,34,47
1592350354,33,51
1592352328,51,36
1592354197,55,22
1592356104,54,17
1592357922,27,27
1592360004,25,41
1592361870,27,36
1592363776,38,18
1592365721,50,29
1592367617,29,25
1592369538,29,133
1592371517,52,47
1592373389,78,41
1592375548,41,42
1592377496,39,24
1592379382,39,38
1592381311,28,51
1592383253,64,55
1592385167,25,32
1592387086,28,40
1592388992,17,18
1592390911,21,25
1592392843,22,32
1592394765,31,40
1592396688,36,19
1592398580,34,42
1592400683,23,33
1592402669,47,16
1592404602,52,34
1592407506,69,56
1592409372,29,27
1592411292,36,31
1592414178,46,63
1592416134,29,23
1592418030,44,16
1592419940,47,21
1592421916,39,35
1592423786,27,36
1592425703,30,43
1592427885,31,47
1592429967,32,29
1592431938,43,42
1592433886,33,36
1592435787,33,33
1592437702,48,36
1592439656,25,40
1592441561,22,55
1592443463,27,29
1592445417,51,22
1592447304,31,23
1592449394,19,34
1592451396,42,39
1592453319,37,26
1592455218,36,155
1592457137,32,37
1592459115,26,63
1592461225,26,41
1592463218,31,35
1592465080,30,33
1592466985,32,36
1592468901,43,49
1592471086,35,42
1592472996,37,23
1592474907,26,25
