DateTime,AddedIPs,RemovedIPs
1591492091,43,46
1591494016,50,67
1591495946,40,49
1591497872,42,81
1591499775,48,109
1591501711,43,59
1591503616,36,36
1591505534,40,48
1591507467,25,68
1591509388,40,33
1591511297,30,34
1591513284,41,167
1591515133,42,64
1591517314,40,48
1591519210,36,48
1591521148,38,106
1591523052,42,68
1591524975,42,30
1591526904,40,42
1591528821,38,38
1591530757,45,48
1591532668,28,40
1591534601,44,39
1591536494,31,61
1591538619,46,45
1591540482,38,32
1591542292,29,36
1591544191,29,34
1591546101,39,39
1591548032,29,42
1591549936,21,34
1591551885,71,37
1591553792,210,47
1591555695,127,35
1591557627,98,46
1591559577,71,43
1591561495,45,154
1591563389,83,931
1591565308,173,1287
1591568474,125,2205
1591570356,170,1388
1591572264,101,1138
1591574194,108,855
1591576095,1221,91
1591578257,1473,111
1591580174,1421,95
1591582361,1573,92
1591584265,1130,77
1591586188,1110,69
1591588150,1298,81
1591590021,966,53
1591591941,1048,63
1591593873,998,46
1591595784,1041,67
1591597697,945,64
1591599847,1109,50
1591601788,1078,52
1591603722,901,48
1591605635,936,51
1591607543,892,66
1591609459,1084,59
1591611376,843,45
1591613303,1035,54
1591615239,856,48
1591617152,1000,65
1591619059,894,57
1591620997,982,50
1591622930,932,56
1591625095,1071,72
1591627235,987,82
1591629387,881,67
1591631299,663,69
1591633237,656,61
1591635141,742,22
1591637101,699,34
1591638995,801,72
1591640897,731,91
1591643013,761,60
1591644981,898,58
1591646907,776,48
1591648837,68,54
1591650734,64,76
1591652678,1132,58
1591654576,1070,46
1591656511,1380,116
1591658415,1351,59
1591660437,1248,48
1591662267,1075,810
1591664173,926,1080
1591666095,943,966
1591668058,560,1300
1591669952,48,963
1591671892,51,853
1591673792,52,1033
1591675706,50,842
1591677612,47,790
1591679823,50,900
1591681694,52,898
1591683613,48,747
1591685547,50,968
1591687453,48,841
1591689384,32,900
1591691293,54,739
1591693258,60,807
1591695220,55,867
1591697310,70,824
1591699211,56,859
1591701382,69,854
1591703294,62,830
1591705223,48,768
1591707140,49,858
1591709075,49,882
1591710976,36,905
1591712899,57,741
1591715054,55,702
1591716983,56,481
1591718891,48,559
1591720812,57,651
1591722801,48,583
1591724656,42,669
1591726572,44,620
1591728505,51,674
1591730415,72,661
1591732331,101,798
1591734266,460,274
1591736173,1039,56
1591738123,59,48
1591740987,69,3300
1591742893,78,2149
1591744831,63,2044
1591746733,49,1764
1591748657,71,1529
1591750587,75,1503
1591752512,71,1407
1591754519,86,756
1591756355,63,59
1591758196,47,70
1591760022,61,71
1591761895,87,60
1591763809,87,62
1591765713,95,60
1591767618,189,53
1591769539,276,53
1591771470,307,77
1591773374,298,53
1591775295,342,55
1591777229,250,41
1591779139,189,60
1591781060,60,47
1591782998,57,53
1591784921,48,65
1591787010,77,65
1591788973,1088,56
1591790931,1114,52
1591792838,517,50
1591794804,525,42
1591796664,727,31
