DateTime,AddedIPs,RemovedIPs
1591497873,32,44
1591499776,32,76
1591501712,41,45
1591503617,34,22
1591505535,30,20
1591507468,22,32
1591509389,21,33
1591511298,37,29
1591513303,36,32
1591515135,27,59
1591517315,23,35
1591519211,27,21
1591521149,27,32
1591523053,24,17
1591524976,28,26
1591526905,29,23
1591528822,29,21
1591530758,34,24
1591532669,30,24
1591534603,46,23
1591536495,27,28
1591538691,38,27
1591540836,23,20
1591542739,20,24
1591544655,36,24
1591546585,20,34
1591548495,12,14
1591550424,8,23
1591552373,64,13
1591554257,84,34
1591556172,57,23
1591558399,54,38
1591560509,29,38
1591562431,26,577
1591564364,69,1678
1591566262,80,1913
1591568475,47,1955
1591570357,91,1737
1591572264,71,1497
1591574195,92,1034
1591576096,163,121
1591578258,97,117
1591580175,116,103
1591582362,98,99
1591584266,61,50
1591586189,139,84
1591588151,136,63
1591590022,96,92
1591591941,89,70
1591593874,60,67
1591595785,86,85
1591597697,118,76
1591599850,101,83
1591601789,91,70
1591603724,55,68
1591605636,67,73
1591607544,114,58
1591609460,114,77
1591611376,87,70
1591613305,57,69
1591615240,78,71
1591617153,98,87
1591619060,131,89
1591620998,67,74
1591622932,95,100
1591625095,85,90
1591627236,62,67
1591629388,82,65
1591631300,69,71
1591633238,81,86
1591635142,77,25
1591637102,119,39
1591638996,90,73
1591640898,103,90
1591643033,94,79
1591644981,103,66
1591646907,89,74
1591648838,87,75
1591650735,108,96
1591652680,89,83
1591654577,70,56
1591656512,83,72
1591658416,77,76
1591660438,94,130
1591662268,109,99
1591664173,79,86
1591666097,80,85
1591669007,120,253
1591670902,84,209
1591672812,99,110
1591674732,97,128
1591676679,108,102
1591678573,59,76
1591680502,84,72
1591682519,74,85
1591684334,87,75
1591686297,70,115
1591688173,79,81
1591690158,70,71
1591692012,75,63
1591693933,89,87
1591695877,96,84
1591697773,97,73
1591699942,108,78
1591701859,81,62
1591703793,70,93
1591705697,84,75
1591707788,67,70
1591709788,70,96
1591711694,67,84
1591713614,69,82
1591715562,65,85
1591717453,71,64
1591719408,96,68
1591721317,121,62
1591723214,65,121
1591725132,77,90
1591727066,77,117
1591728969,81,97
1591730917,111,92
1591732990,105,81
1591734984,67,65
1591736901,78,78
1591738709,83,81
1591740730,112,80
1591742686,148,66
1591744579,54,94
1591746498,49,103
1591748432,75,77
1591750338,91,91
1591752265,92,90
1591754213,97,90
1591756098,77,87
1591758197,77,96
1591760023,102,101
1591761896,99,141
1591763810,134,102
1591765713,107,93
1591767618,288,76
1591769540,459,88
1591771472,543,82
1591773375,509,71
1591775321,602,69
1591777229,443,48
1591779140,327,78
1591781085,61,54
1591782998,52,60
1591784923,54,78
1591787032,98,74
1591788974,1105,72
1591790932,1122,70
1591792839,542,46
1591794823,533,59
1591796664,734,48
1591798653,759,58
1591800755,879,61
1591802658,644,73
1591804605,69,41
1591806517,50,93
1591808530,70,62
1591810342,76,58
1591812314,66,55
1591814207,80,49
1591816114,60,58
1591818026,84,79
1591819932,83,61
1591821870,62,48
1591823788,59,58
1591825691,84,62
1591827627,57,77
1591829535,69,76
1591831470,74,69
1591833420,51,52
1591835293,49,63
1591837397,67,59
1591839383,70,70
1591841306,57,56
1591843219,61,75
1591845153,58,63
1591847081,68,60
1591848975,53,93
1591851196,79,78
1591853092,299,89
1591855022,58,482
1591856903,38,487
1591859024,81,534
1591860981,57,580
1591862914,70,468
1591864819,72,534
1591866985,91,77
1591868896,82,81
1591870829,92,70
1591872757,62,90
1591874661,98,854
1591876601,75,1162
1591878499,47,568
1591880672,74,685
1591882607,66,588
1591884502,71,982
1591886440,91,710
1591888254,70,817
1591890260,69,261
1591892199,51,75
1591894115,69,71
1591896020,71,97
1591898144,82,98
1591900102,70,85
1591902995,131,128
1591904904,97,101
1591906831,90,115
1591908778,73,96
1591910687,73,101
1591912600,84,102
1591914497,83,84
1591916741,99,101
1591918600,71,88
1591920510,84,74
1591922425,83,76
1591924363,78,95
1591926262,66,97
1591928180,67,81
1591930123,74,90
1591932015,84,84
1591933969,78,66
1591935888,79,88
1591937790,84,69
1591939705,60,358
1591941724,68,65
1591943532,74,76
1591945400,78,99
1591947384,63,84
1591949293,68,70
1591951212,74,66
1591953150,73,79
1591955056,70,80
1591957245,86,98
1591959145,68,83
1591961084,93,106
1591962982,84,85
1591964903,92,82
1591967077,83,71
1591968996,104,88
1591970932,90,78
1591972819,66,77
1591975023,67,79
1591977000,105,56
1591978830,76,67
1591980752,80,64
1591982657,77,86
1591984604,60,82
1591986496,67,88
1591989379,115,123
1591991297,124,80
1591993228,76,93
1591995153,76,75
1591997094,74,61
1591998995,60,88
1592000930,79,82
1592003002,135,90
1592004974,98,94
1592006939,108,102
1592008962,115,102
1592010979,55,76
1592012927,105,67
1592014823,74,69
1592016744,48,82
1592018711,94,66
1592020577,88,73
1592022521,134,72
1592024682,104,89
1592026580,73,74
1592028514,48,80
