DateTime,AddedIPs,RemovedIPs
1591496898,8,7
1591499029,16,10
1591500985,3,7
1591502891,13,15
1591504812,8,33
1591506749,3,5
1591508655,6,4
1591510572,5,9
1591512510,9,13
1591514421,4,21
1591516333,10,22
1591518267,6,8
1591520172,521,8
1591522095,255,9
1591524191,12,14
1591526185,7,3
1591528096,8,8
1591530034,8,7
1591531967,9,10
1591533853,13,2
1591535800,7,3
1591537727,4,5
1591539679,7,2
1591541595,9,9
1591543455,2,6
1591545382,8,6
1591547308,2,5
1591549376,2,8
1591551410,5,9
1591553550,11,6
1591555460,9,16
1591557376,11,3
1591559328,9,8
1591561249,4,8
1591563162,5,13
1591565061,30,11
1591566995,17,11
1591568897,10,13
1591570980,3,19
1591572978,4,10
1591574906,10,15
1591576810,14,4
1591578733,5,10
1591580662,5,12
1591582823,5,7
1591584774,10,16
1591586672,29,3
1591588585,13,11
1591590540,3,6
1591592668,8,10
1591594584,10,7
1591596758,8,4
1591598654,14,6
1591600574,8,2
1591602506,1,10
1591604416,6,5
1591606384,7,485
1591608257,14,310
1591610172,4,9
1591612093,3,6
1591614195,10,11
1591616171,7,6
1591618108,6,10
1591620034,6,6
1591621938,8,8
1591623865,13,9
1591625771,10,13
1591627691,8,4
1591629623,19,7
1591631542,4,6
1591633458,5,6
1591635385,8,3
1591637290,11,3
1591640189,11,15
1591642109,6,8
1591644035,7,7
1591645940,9,7
1591647862,11,4
1591649793,18,7
1591651975,17,29
1591653960,6,5
1591655811,8,16
1591657717,6,8
1591659648,5,7
1591661557,11,14
1591663470,18,12
1591665443,9,6
1591667313,13,3
1591669224,9,4
1591671143,9,8
1591673172,22,27
1591674982,10,15
1591676913,13,4
1591678996,13,6
1591680986,8,6
1591682901,12,7
1591684837,8,20
1591687028,4,6
1591688903,4,1
1591690909,14,8
1591692745,8,5
1591694662,18,14
1591696616,16,5
1591698522,8,3
1591700637,9,7
1591702591,6,6
1591704755,12,7
1591706653,16,6
1591708574,13,4
1591710512,14,8
1591712418,6,11
1591714340,5,15
1591716271,16,14
1591718178,7,6
1591720092,10,5
1591722208,7,11
1591724193,10,10
1591726384,6,7
1591728260,6,8
1591730177,4,10
1591732111,9,8
1591734016,5,8
1591735939,11,19
1591737766,10,8
1591739783,14,12
1591741711,22,6
1591743832,8,9
1591745775,6,6
1591747762,7,14
1591749622,6,18
1591751532,7,7
1591753473,26,17
1591755382,9,8
1591757309,5,9
1591759232,13,15
1591761140,9,16
1591763076,3,9
1591765017,12,15
1591766902,9,14
1591769117,5,8
1591770978,7,12
1591772936,8,13
1591774830,11,2
1591776764,15,10
1591778669,10,9
1591780599,4,10
1591782497,14,16
1591784438,7,14
1591786336,14,11
1591788262,10,10
1591790213,4,4
1591792388,9,19
1591794411,6,10
1591796213,6,15
1591798266,13,7
1591800360,6,4
1591802198,9,11
1591804094,9,5
1591806017,4,15
1591807951,8,8
1591809878,5,8
1591811794,9,7
1591813712,5,3
1591815796,12,6
1591817775,11,8
1591819715,10,4
1591821619,9,5
1591823534,4,9
1591825489,19,8
1591827375,4,21
1591829295,13,20
1591831233,5,10
1591833173,9,6
1591835055,3,7
1591836988,21,6
1591838891,5,17
1591841781,13,14
1591843696,16,11
1591845625,6,9
1591847535,6,11
1591849460,16,7
1591851414,12,10
1591853297,5,10
1591856171,11,11
1591858379,7,10
1591860260,9,9
1591862195,13,19
1591864100,12,9
1591866186,5,6
1591868042,4,12
1591869868,5,4
1591871778,7,14
1591873727,6,5
1591875618,25,10
1591877569,8,8
1591879477,20,8
1591881376,3,2
1591883321,8,9
1591885216,7,7
1591887143,14,8
1591889074,0,16
1591891005,15,7
1591893266,9,9
1591895078,6,6
1591896979,9,9
1591898900,6,1
1591900827,6,4
1591902740,2,15
1591904656,6,13
1591906587,10,4
1591908507,6,4
1591910436,4,8
1591912339,13,19
1591914270,5,7
1591916226,8,17
1591918097,5,5
1591920196,10,8
1591922185,11,4
1591924096,11,10
1591926036,9,7
1591927951,12,9
1591929919,20,15
1591931784,5,9
1591933715,11,7
1591935625,12,12
1591937533,8,10
1591939473,10,8
1591941369,8,13
1591943295,734,8
1591945402,1679,7
1591947385,103,5
1591949293,4,9
1591951213,7,12
1591953154,3,13
1591955057,5,5
1591957246,14,4
1591959146,8,10
1591961085,9,5
1591962983,4,13
1591964904,5,8
1591967078,20,12
1591969021,16,8
1591970933,2,3
1591972820,8,8
1591975024,5,3
1591977030,5,10
1591978830,2,11
1591980758,17,5
1591982658,11,10
1591984605,5,5
1591986496,4,3
1591989379,20,3
1591991298,13,4
1591993228,14,7
1591995154,12,6
1591997096,7,8
1591998997,4,15
1592000966,19,1
1592003002,10,7
1592004975,11,8
1592006939,3,10
1592008962,7,14
1592010980,8,7
1592012927,8,9
1592014824,6,17
1592016744,4,15
1592018711,3,5
1592020578,8,15
1592022522,17,6
1592024682,8,11
1592026580,6,14
1592028514,6,299
1592030412,6,9
1592032585,3,7
1592034503,6,4
1592036430,11,3
1592038342,3,2
1592040261,3,7
1592042197,14,4
1592044097,12,7
1592046988,16,8
1592048901,14,7
1592050833,6,7
1592052742,10,9
1592054661,8,6
1592056593,21,15
1592058524,8,12
1592060695,10,8
1592062589,7,5
1592064549,7,4
1592066417,4,1098
1592068381,3,1155
1592070260,7,9
1592072183,13,11
1592074111,17,6
1592076014,11,14
1592077936,13,12
1592080021,10,15
1592082978,22,21
1592084991,8,7
1592086821,13,15
1592088766,20,12
1592090700,13,10
1592092575,2,8
1592094515,3,8
1592097383,19,11
1592099316,6,8
1592101243,10,6
1592103140,7,4
1592105074,9,5
1592106990,5,7
1592108900,5,17
1592111105,10,8
1592112996,12,10
1592114908,8,4
1592116836,24,6
1592118748,7,2
1592120657,19,3
1592122582,6,8
1592124512,19,7
1592126417,4,5
1592128338,12,11
1592130279,3,6
1592132175,5,8
1592134095,18,11
1592136333,16,17
1592138369,12,12
1592140264,8,5
1592142695,11,25
1592144756,0,7
1592146574,4,10
1592148510,1,3
1592150642,38,8
1592152655,15,3
1592154495,4,7
1592156414,8,5
1592158353,8,9
1592160261,9,13
1592162176,8,12
1592164119,5,16
1592166011,5,12
1592167933,18,12
1592169872,4,11
1592171774,14,9
1592173715,26,17
1592175767,23,17
1592177814,14,12
1592179694,7,9
1592181609,12,8
1592183412,16,6
1592185226,22,10
1592187134,9,8
1592189092,7,5
1592190987,8,11
1592192892,8,7
1592194816,1,5
1592196776,8,11
1592198658,9,8
1592200574,4,8
1592202502,7,14
1592204564,11,11
1592206577,22,15
1592208525,8,12
1592210415,16,21
1592212333,10,12
1592214272,23,8
1592216235,22,5
1592218095,7,6
1592220028,13,14
1592221936,21,14
1592223890,8,6
1592225801,10,17
1592227692,3,10
1592229641,9,7
1592231552,8,2
1592233625,5,2
1592235642,13,7
1592237787,8,12
1592239700,5,13
1592241648,3,29
1592243547,16,9
1592245498,13,7
1592247434,8,13
1592249308,15,2
1592251490,14,5
1592253385,15,12
1592255321,9,7
1592257219,16,6
1592259133,17,10
1592261075,27,12
1592262983,14,35
1592264899,14,17
1592266831,13,9
1592268764,17,11
1592270568,17,16
1592272611,17,20
1592274510,8,10
1592276659,6,10
1592278582,10,10
1592280526,11,6
1592282426,28,6
1592284338,8,8
1592286282,4,3
1592288425,8,9
1592290359,19,7
1592292285,18,18
1592294210,7,8
1592296121,7,21
1592298182,8,11
1592300191,6,23
1592302140,11,18
1592304025,14,8
1592306009,4,8
1592307857,10,21
1592309770,5,11
1592311710,8,16
1592313611,4,4
1592315536,9,6
1592317472,6,6
1592319374,13,8
1592321319,11,10
1592323330,10,10
1592325172,7,4
1592327082,12,5
1592328999,6,9
1592330902,6,6
1592332843,9,10
1592334746,11,21
1592336722,18,12
1592338575,5,14
1592340738,18,11
1592342655,13,9
1592344593,9,16
1592346498,6,27
1592348532,11,13
1592350355,9,7
1592352331,4,20
1592354199,8,23
1592356105,20,7
1592357923,8,19
1592360005,5,10
1592361872,25,6
1592363777,8,8
1592365722,13,16
1592367618,14,9
1592369539,16,20
1592371518,11,4
1592373390,5,13
1592375562,15,13
1592377499,13,7
1592379383,19,11
1592381313,6,10
1592383255,11,17
1592385168,12,6
1592387087,4,11
1592388993,12,16
1592390912,5,6
1592392844,7,7
1592394767,6,7
1592396689,7,10
1592398581,11,5
1592400685,7,6
1592402670,9,8
1592404603,4,6
1592406545,18,13
1592408420,4,13
1592410417,5,7
1592412267,5,10
1592414179,12,15
1592416135,5,5
1592418031,8,5
1592419942,10,4
1592421919,4,12
1592423789,11,20
1592425705,13,14
1592427893,17,12
1592429979,25,16
1592431939,12,7
1592433888,18,10
1592435788,19,7
1592437703,15,13
1592439658,12,3
1592441563,18,7
1592443465,6,11
1592445418,18,12
1592447306,9,19
1592449396,6,11
1592451400,10,11
1592453321,12,8
1592455220,11,17
1592457138,10,12
1592459121,10,13
1592461226,16,11
1592463220,15,12
1592465081,12,19
1592466986,13,10
1592468903,8,9
1592471094,12,15
1592472998,4,5
1592474908,11,10
