DateTime,AddedIPs,RemovedIPs
1591212983,0,1
1591214920,0,3
1591216831,0,3
1591220680,2,0
1591224505,3,1
1591226446,2,0
1591228353,2,1
1591232189,1,1
1591236213,1,3
1591238190,0,1
1591240368,0,1
1591246114,2,0
1591248028,1,0
1591249939,1,0
1591253784,1,0
1591255700,1,1
1591257790,0,1
1591259787,0,1
1591261974,2,0
1591263860,0,1
1591266029,2,3
1591267963,0,2
1591269882,0,1
1591271803,6,0
1591275861,1,2
1591277780,1,2
1591279714,0,1
1591281615,2,0
1591283535,0,1
1591287386,1,2
1591289319,1,1
1591291232,1,1
1591293137,1,1
1591295058,1,2
1591296995,3,0
1591298894,2,0
1591301078,1,0
1591302977,2,1
1591304922,1,0
1591306822,1,1
1591310670,1,2
1591314492,1,3
1591318338,0,2
1591322190,3,1
1591324098,1,0
1591326224,1,0
1591330106,1,0
1591332015,1,0
1591334177,0,3
1591338034,0,1
1591341934,1,2
1591343828,2,0
1591349777,1,0
1591351735,0,2
1591353624,2,0
1591355532,1,0
1591357472,1,2
1591359380,1,3
1591361294,2,0
1591363258,1,2
1591365140,1,0
1591367056,0,1
1591368987,0,1
1591373772,0,1
1591375694,1,2
1591377630,1,1
1591383383,0,4
1591385294,0,2
1591387374,0,1
1591389379,2,2
1591391312,0,1
1591393214,1,1
1591401134,2,1
1591403052,1,0
1591404990,2,1
1591408864,1,3
1591410767,0,1
1591412678,0,1
1591418410,1,1
1591424172,1,0
1591428018,0,1
1591429931,1,1
1591431864,1,1
1591435691,1,0
1591441477,0,3
1591443388,1,0
1591445296,0,3
1591447211,2,3
1591449173,0,1
1591451074,2,0
1591458733,1,0
1591462571,1,3
1591466519,1,0
1591468337,1,0
1591472188,4,0
1591474096,0,1
1591476009,1,1
1591477944,1,0
1591479854,2,1
1591483701,1,0
1591485614,1,1
1591487559,1,0
1591489468,1,1
1591491398,1,2
1591493292,3,0
1591495248,3,1
1591497207,3,0
1591504812,1,2
1591508656,1,1
1591510572,0,2
1591516333,1,2
1591518267,1,0
1591522095,1,2
1591524191,1,0
1591526186,1,0
1591530035,1,1
1591531967,1,0
1591533853,0,2
1591535801,1,0
1591537728,0,1
1591545383,0,1
1591547308,3,0
1591549377,2,1
1591551410,2,1
1591553550,0,1
1591555460,1,0
1591557377,0,1
1591559328,0,2
1591563162,0,2
1591565062,1,1
1591566996,2,2
1591570982,0,3
1591572978,1,2
1591576810,1,2
1591578733,1,2
1591580662,1,3
1591582823,1,3
1591584774,0,1
1591590540,1,1
1591592688,1,0
1591594584,2,0
1591596758,0,1
1591600575,1,0
1591602507,4,1
1591604417,4,1
1591606384,0,1
1591608257,1,0
1591610172,0,1
1591612093,1,1
1591614196,1,0
1591618108,0,2
1591627692,1,0
1591629624,1,0
1591631542,1,1
1591633459,1,2
1591635385,3,1
1591637291,0,3
1591639305,1,0
1591641149,1,1
1591643043,3,0
1591645002,0,3
1591646909,4,4
1591650737,2,3
1591652681,1,0
1591654578,2,2
1591656514,1,0
1591658418,3,0
1591660439,0,2
1591662270,2,1
1591664174,3,0
1591666100,2,1
1591668110,2,1
1591669953,0,1
1591671912,2,0
1591673794,1,0
1591675714,1,1
1591677613,2,0
1591681696,0,2
1591683614,1,0
1591687455,0,3
1591689385,0,2
1591691294,0,3
1591693294,2,0
1591695221,2,2
1591697312,1,0
1591699221,0,1
1591701384,0,2
1591707142,2,0
1591709076,1,0
1591712901,1,1
1591715084,2,0
1591718893,0,1
1591720813,5,4
1591722802,2,0
1591724662,2,1
1591726574,3,0
1591728507,3,2
1591730416,0,2
1591732333,0,1
1591734268,1,1
1591736174,2,1
1591738124,1,0
1591740040,2,2
1591741935,1,0
1591743832,0,1
1591745776,1,2
1591747762,2,1
1591749623,0,3
1591753474,1,3
1591755382,1,0
1591757310,1,2
1591759233,2,2
1591763076,3,2
1591765017,0,1
1591769118,0,2
1591772936,0,1
1591776765,1,0
1591778669,0,1
1591780599,0,2
1591782497,0,1
1591784439,0,1
1591790213,1,0
1591792388,0,1
1591794412,0,1
