DateTime,AddedIPs,RemovedIPs
1591498102,3,6
1591500028,2,2
1591501932,0,5
1591503864,0,2
1591505768,2,6
1591507695,0,1
1591509770,1,2
1591511787,1,2
1591513690,1,2
1591515609,1,1
1591517570,0,1
1591519452,1,1
1591521367,1,2
1591523306,1,2
1591525215,1,0
1591527147,3,6
1591529065,43,16
1591530970,65,1
1591532891,4,3
1591534948,9,4
1591536992,11,8
1591538915,10,10
1591540838,6,13
1591542740,7,4
1591544657,6,5
1591546586,1,17
1591548497,2,8
1591550425,2,6
1591552378,3,5
1591554259,1,6
1591556175,4,4
1591558401,4,7
1591560512,5,3
1591562436,2,5
1591564367,0,5
1591566263,3,4
1591568476,4,5
1591570358,4,3
1591572266,0,5
1591574199,1,7
1591576097,1,3
1591578260,3,5
1591580180,4,5
1591582363,23,5
1591584269,14,5
1591586190,2,2
1591588153,0,2
1591590023,3,0
1591591943,4,2
1591593886,21,0
1591595795,2,1
1591597698,2,1
1591599888,4,0
1591601790,2,0
1591603726,2,1
1591605637,25,1
1591607547,48,0
1591609461,7,5
1591611378,2,1
1591613310,7,4
1591615241,11,36
1591617156,17,63
1591619061,15,9
1591621000,11,6
1591622934,8,5
1591625097,17,12
1591627238,15,6
1591629389,27,6
1591631301,16,4
1591633239,39,1
1591635144,16,2
1591637103,10,3
1591638997,15,2
1591640901,15,0
1591643051,13,3
1591645003,7,2
1591646909,11,5
1591648840,10,2
1591650737,9,2
1591652682,9,2
1591654579,7,3
1591656515,13,4
1591658419,11,0
1591660440,13,1
1591662271,14,2
1591664175,8,3
1591666100,11,1
1591668162,11,7
1591670208,8,29
1591672117,10,2
1591674009,5,1
1591675958,4,2
1591677849,9,3
1591679825,11,12
1591681697,8,6
1591683615,9,2
1591685548,5,4
1591687457,5,2
1591689386,10,1
1591691295,10,2
1591693331,6,72
1591695222,15,9
1591697313,7,2
1591699221,9,6
1591701384,4,6
1591703295,10,12
1591705225,39,8
1591707143,16,6
1591709076,27,10
1591710978,7,12
1591712901,11,18
1591715088,7,14
1591716986,9,7
1591718894,8,35
1591720814,1,14
1591722803,4,12
1591724662,4,13
1591726575,4,9
1591728508,38,13
1591730416,8,9
1591732334,2,7
1591734269,3,10
1591736175,3,4
1591738124,4,8
1591740047,5,8
1591741936,6,11
1591743835,4,11
1591745776,5,14
1591747763,4,10
1591749623,8,6
1591751541,5,12
1591753475,5,12
1591755383,4,9
1591757311,7,8
1591759233,6,5
1591761141,5,5
1591763077,5,11
1591765018,9,11
1591766902,14,12
1591769118,3,8
1591770978,10,9
1591772937,7,7
1591774831,12,7
1591776765,38,10
1591778670,17,4
1591780600,12,6
1591782498,18,8
1591784440,14,9
1591786337,10,9
1591788262,9,6
1591790214,5,10
1591792409,11,4
1591794412,12,10
1591796214,29,11
1591798290,50,10
1591800364,79,8
1591802199,9,90
1591804095,8,9
1591806019,52,3
1591807952,44,0
1591809879,8,4
1591811795,11,5
1591813713,14,13
1591815803,6,37
1591817776,3,1
1591819716,3,0
1591821637,8,7
1591823535,10,2
1591825490,10,2
1591827376,3,6
1591829296,6,3
1591831235,4,5
1591833176,8,5
1591835056,2,8
1591836989,2,9
1591838892,1,8
1591841782,5,7
1591843697,6,8
1591845626,3,2
1591847536,24,6
1591849461,0,8
1591851415,3,8
1591853298,4,14
1591856172,8,10
1591858380,9,7
1591860261,4,6
1591862196,24,21
1591864118,11,29
1591866188,8,18
1591868043,11,9
1591869869,66,15
1591871779,7,12
1591873728,11,4
1591875619,21,14
1591877570,26,4
1591879478,15,9
1591881376,15,9
1591883322,28,50
1591885217,43,39
1591887145,93,65
1591889075,1,7
1591891006,2,5
1591893267,1,83
1591895079,1,7
1591896980,2,7
1591898901,0,11
1591900828,1,6
1591902741,2,1
1591904657,1,8
1591906588,2,8
1591908519,3,9
1591910437,0,14
1591912340,2,6
1591914271,2,5
1591916227,0,4
1591918098,1,2
1591920199,1,4
1591922195,1,4
1591924097,1,3
1591926037,3,4
1591927952,1,2
1591929920,0,7
1591931785,1,1
1591933716,1,30
1591935626,1,5
1591937534,3,9
1591939474,3,3
