DateTime,Entries,UniqueIPs
1591751328,12063,12063
1591752866,12057,12057
1591754459,12068,12068
1591755920,12069,12069
1591757424,12130,12130
1591758565,12070,12070
1591760061,12067,12067
1591761653,12115,12115
1591762948,12111,12111
1591763664,12053,12053
1591765854,12065,12065
1591768223,12049,12049
1591770108,12052,12052
1591771507,12031,12031
1591773453,12010,12010
1591775430,12011,12011
1591777110,11993,11993
1591779025,12028,12028
1591780309,12032,12032
1591781661,12048,12048
1591784157,12074,12074
1591784672,12085,12085
1591785263,12080,12080
1591786466,12212,12212
1591788323,12249,12249
1591788861,12226,12226
1591790157,12333,12333
1591791922,12359,12359
1591793425,12488,12488
1591794803,12490,12490
1591796070,12498,12498
1591797659,12569,12569
1591799122,12579,12579
1591799646,7967,7967
1591801131,12671,12671
1591802721,7967,7967
1591804042,12773,12773
1591806861,12743,12743
1591808117,12847,12847
1591809248,12831,12831
1591810458,12820,12820
1591812053,12835,12835
1591813522,12834,12834
1591815021,7967,7967
1591816491,12837,12837
1591817657,12808,12808
1591819257,12837,12837
1591820717,12844,12844
1591821262,12819,12819
1591822854,12836,12836
1591824158,12866,12866
1591825828,12879,12879
1591827542,12849,12849
1591828462,12850,12850
1591830048,12877,12877
1591831519,12878,12878
1591832061,12871,12871
1591833648,12887,12887
1591835126,12895,12895
1591836722,12955,12955
1591838156,12920,12920
1591839259,12899,12899
1591840853,7967,7967
1591842319,12865,12865
1591842865,12823,12823
1591844795,12798,12798
1591846459,12819,12819
1591848056,12824,12824
1591849525,12857,12857
1591850063,12868,12868
1591851283,12875,12875
1591852614,12814,12814
1591853656,12839,12839
1591857260,12826,12826
1591858464,12859,12859
1591859852,12805,12805
1591860856,12798,12798
1591862119,12805,12805
1591863920,12826,12826
1591864460,12819,12819
1591865883,12815,12815
1591867088,12716,12716
1591868061,12705,12705
1591869320,12719,12719
1591871658,12617,12617
1591872920,12631,12631
1591874330,12581,12581
1591876222,12595,12595
1591878321,12575,12575
1591878861,12554,12554
1591880455,12523,12523
1591881562,12525,12525
1591882460,12521,12521
1591884052,12456,12456
1591885519,12467,12467
1591887019,12455,12455
1591888789,12392,12392
1591889661,12385,12385
1591891253,12342,12342
1591893260,12345,12345
1591894854,12295,12295
1591896012,12294,12294
1591897152,12290,12290
1591898448,12251,12251
1591900457,12242,12242
1591901557,12190,12190
1591903005,12189,12189
1591904059,12091,12091
1591905270,12381,12381
1591907124,12356,12356
1591907658,12346,12346
1591909179,12311,12311
1591910491,12312,12312
1591912223,12308,12308
1591913846,12268,12268
1591914861,12242,12242
1591916455,12252,12252
1591917721,12255,12255
1591919197,12229,12229
1591921519,12193,12193
1591923019,12225,12225
1591924357,12168,12168
1591925661,12183,12183
1591927255,12196,12196
1591928722,12194,12194
1591929961,12235,12235
1591932175,12201,12201
1591932859,12200,12200
1591934330,12206,12206
1591935923,12203,12203
1591936460,12207,12207
1591937566,12220,12220
1591939416,12238,12238
1591940061,12236,12236
1591941251,12269,12269
1591943120,12301,12301
1591943655,12302,12302
1591945046,12312,12312
1591946662,12304,12304
1591947252,7967,7967
1591948860,12239,12239
1591950128,12240,12240
1591951825,12208,12208
1591953021,11827,11827
1591954458,11801,11801
1591956061,11648,11648
1591957504,11654,11654
1591959023,11619,11619
1591960395,11530,11530
1591961660,11480,11480
1591963250,11391,11391
1591964721,11391,11391
1591966220,11341,11341
1591968858,11252,11252
1591970141,11248,11248
1591971430,11165,11165
1591972462,11162,11162
1591974415,11065,11065
1591975521,11068,11068
1591977024,10958,10958
1591978927,10938,10938
1591979658,10943,10943
1591981244,10895,10895
1591982722,10905,10905
1591984220,10904,10904
1591986320,10886,10886
1591987462,10859,10859
1591990462,10821,10821
1591991882,10850,10850
1591993521,10794,10794
1591995020,10733,10733
1591996318,10724,10724
1591997660,10731,10731
1592000377,10668,10668
1592001271,10663,10663
1592002849,10604,10604
1592004310,10606,10606
1592004859,10601,10601
1592007921,10589,10589
1592009426,10560,10560
1592011522,10495,10495
1592013119,10480,10480
1592015660,10421,10421
1592016803,10421,10421
1592018723,10360,10360
1592020223,10315,10315
1592021736,10308,10308
1592022856,10332,10332
1592024458,10340,10340
1592025906,10350,10350
1592026457,10324,10324
1592027593,10302,10302
1592028947,10282,10282
1592030195,10271,10271
1592031657,10309,10309
1592033119,10337,10337
1592033658,10306,10306
1592035200,7967,7967
1592036718,10317,10317
1592037818,10316,10316
1592039689,10333,10333
1592040857,10308,10308
1592042227,10307,10307
1592043578,10318,10318
1592045420,10305,10305
1592047505,10297,10297
1592048056,10293,10293
1592049642,10305,10305
1592050939,10315,10315
1592052621,10705,10705
1592055259,10731,10731
1592056859,10758,10758
1592058320,10776,10776
1592058858,10779,10779
1592059959,10783,10783
1592061176,10769,10769
1592062458,10798,10798
1592064047,10797,10797
1592065517,10805,10805
1592066058,10804,10804
1592067653,10798,10798
1592068932,10802,10802
1592070624,10799,10799
1592073256,10783,10783
1592074852,10414,10414
1592076320,10418,10418
1592076858,10392,10392
1592078451,10387,10387
1592079924,10389,10389
1592080459,10384,10384
1592081557,10378,10378
1592083519,10370,10370
1592084056,10364,10364
1592085632,7967,7967
1592087661,10371,10371
1592088934,10477,10477
1592090718,10459,10459
1592091839,10546,10546
1592093372,10524,10524
1592094857,7967,7967
1592096453,10531,10531
1592097923,10534,10534
1592099386,10672,10672
1592102060,10600,10600
1592104505,10771,10771
1592105622,10761,10761
1592107135,10897,10897
1592108624,10903,10903
1592109261,10882,10882
1592110635,10872,10872
1592112861,10810,10810
1592115102,11142,11142
1592116459,11152,11152
1592118047,11295,11295
1592119358,11302,11302
1592120057,11305,11305
1592121349,11418,11418
1592123119,11446,11446
1592124447,11573,11573
1592126721,11580,11580
1592128221,11738,11738
1592129729,11756,11756
1592130858,11761,11761
1592132443,11864,11864
1592133918,11870,11870
1592135517,11965,11965
1592137342,11966,11966
1592138065,11967,11967
1592139643,12069,12069
1592141121,12071,12071
1592142717,12168,12168
1592144523,12183,12183
1592145258,12182,12182
1592146851,12283,12283
1592148322,12307,12307
1592148857,12279,12279
1592150072,12381,12381
1592151304,12367,12367
1592152459,12365,12365
1592154045,12421,12421
1592155441,12434,12434
1592156057,12405,12405
1592157534,12471,12471
1592159120,12582,12582
1592159658,12574,12574
1592161247,12582,12582
1592162694,12585,12585
1592163255,12584,12584
1592164476,12648,12648
1592165976,12651,12651
1592167918,12714,12714
1592169240,12710,12710
1592170597,12708,12708
1592172057,12766,12766
1592173224,12774,12774
1592174062,12769,12769
1592175653,12912,12912
1592177124,12995,12995
1592177657,12964,12964
1592179138,13063,13063
1592180721,13051,13051
1592181256,13050,13050
1592182356,13122,13122
1592183565,13124,13124
1592185040,13138,13138
1592186454,13255,13255
1592187924,13253,13253
1592188461,13248,13248
1592190273,13334,13334
1592191523,13351,13351
1592193024,13385,13385
1592195662,13356,13356
1592197958,13354,13354
1592199476,13372,13372
1592200572,13361,13361
1592201860,13308,13308
1592202864,13300,13300
1592204503,13316,13316
1592205925,13331,13331
1592207087,13318,13318
1592208563,13309,13309
1592210076,13286,13286
1592211240,13299,13299
1592212585,13309,13309
1592213667,13278,13278
1592215125,13282,13282
1592216427,13279,13279
1592217255,13261,13261
1592218562,13288,13288
1592220014,13285,13285
1592220863,13278,13278
