DateTime,AddedIPs,RemovedIPs
1591758560,22,35
1591760055,34,45
1591761613,32,32
1591762941,38,12
1591763655,21,63
1591765848,56,46
1591768216,43,38
1591770103,37,50
1591771500,38,38
1591773449,40,19
1591775425,71,57
1591777106,29,78
1591779019,19,73
1591780306,15,28
1591781653,34,37
1591783221,40,50
1591784668,25,9
1591785259,11,27
1591786462,28,18
1591788316,38,28
1591788852,10,27
1591790149,19,22
1591791918,39,20
1591793414,48,50
1591794796,33,35
1591796059,39,38
1591797618,101,51
1591799114,154,13
1591801127,261,61
1591802717,253,13
1591804035,209,39
1591806855,484,42
1591808113,198,13
1591809242,112,18
1591810453,23,27
1591812011,36,24
1591813514,25,9
1591815015,17,35
1591816485,22,17
1591817652,15,29
1591819214,25,40
1591820713,26,9
1591821257,5,29
1591822849,40,34
1591824154,25,8
1591825820,36,45
1591827539,25,25
1591828455,14,31
1591830009,33,22
1591831514,24,12
1591832056,7,41
1591833609,29,32
1591835120,31,12
1591836718,31,55
1591838152,32,27
1591839254,12,24
1591840813,18,33
1591842314,24,19
1591842856,9,30
1591844791,36,46
1591846453,30,16
1591848014,26,28
1591849517,22,14
1591850055,9,41
1591851278,26,16
1591852608,18,21
1591853651,18,34
1591855221,21,40
1591856717,49,7
1591857255,5,28
1591858460,11,13
1591859849,16,33
1591860852,19,32
1591862113,18,7
1591863914,35,36
1591864453,12,47
1591865880,33,13
1591867082,28,24
1591868054,13,28
1591869316,16,16
1591871653,39,51
1591872916,18,7
1591874326,31,18
1591876217,39,25
1591876860,12,15
1591878314,16,4
1591878853,8,23
1591880412,26,30
1591881559,11,5
1591882454,14,22
1591884013,16,29
1591885514,19,8
1591887014,18,37
1591888785,24,19
1591889654,14,26
1591891210,18,30
1591893254,36,32
1591894812,14,17
1591895917,17,7
1591897123,18,37
1591898408,18,22
1591900452,34,25
1591901553,15,21
1591902999,18,22
1591904053,12,24
1591905266,31,17
1591907119,24,31
1591907654,10,31
1591909175,23,25
1591910487,18,6
1591912217,32,48
1591913843,35,21
1591914853,15,25
1591916413,26,44
1591917718,25,7
1591919183,30,33
1591921514,34,33
1591923012,27,33
1591924353,16,22
1591925653,20,33
1591927210,20,29
1591928716,30,11
1591929954,17,34
1591932172,33,19
1591932854,13,42
1591934290,17,44
1591935918,29,32
1591936455,7,40
1591937562,14,13
1591939412,25,35
1591940055,10,47
1591941244,22,20
1591943114,27,40
1591943651,8,30
1591945038,29,16
1591946656,19,41
1591948814,37,49
1591950120,14,8
1591951818,19,34
1591953016,23,23
1591954454,21,29
1591956013,25,27
1591957143,17,6
1591959014,32,32
1591960390,20,22
1591961653,73,43
1591963216,15,41
1591964717,26,12
1591966214,19,68
1591968854,32,820
1591970138,51,71
1591971423,50,194
1591972454,39,317
1591974058,45,376
1591975515,51,11
1591977017,50,442
1591978921,60,267
1591979651,35,88
1591981203,61,41
1591982715,35,16
1591984214,40,33
1591986315,40,21
1591987456,28,39
1591990457,77,60
1591991878,41,14
1591993515,45,21
1591995013,33,36
1591996314,25,21
1591997652,37,33
1592000374,55,45
1592001265,28,33
1592002809,56,36
1592003928,31,7
1592004852,22,39
1592007914,58,34
1592009415,142,38
1592011516,59,26
1592013115,33,40
1592015655,61,54
1592016798,8,24
1592018716,45,28
1592020217,31,31
1592021730,28,29
1592022847,33,37
1592024408,34,40
1592025537,20,6
1592026453,22,51
1592027584,18,12
1592028943,16,24
1592030190,29,44
1592031620,24,47
1592033114,21,4
1592033654,14,31
1592036714,79,39
1592037814,15,35
1592039684,27,15
1592040852,23,40
1592042222,32,15
1592043575,29,26
1592045413,47,49
1592046053,12,19
1592048051,44,26
1592049601,28,34
1592050928,30,4
1592052614,32,47
1592055253,44,34
1592056854,22,28
1592058313,12,3
1592058852,7,23
1592059956,15,20
1592061173,22,14
1592062453,18,23
1592064006,25,36
1592065513,22,3
1592066052,12,20
1592067616,32,24
1592068925,18,5
1592070615,26,39
1592073252,28,43
1592074815,30,35
1592076314,17,11
1592076853,1,14
1592078408,29,27
1592079918,23,3
1592080453,15,32
1592081553,15,16
1592083514,36,33
1592084051,12,23
1592085611,17,35
1592087655,39,28
1592088931,29,15
1592090711,39,24
1592091834,16,40
1592093368,25,25
1592094855,26,28
1592096407,22,26
1592097915,25,2
1592099380,28,34
1592102054,25,59
1592103658,19,37
1592104823,13,4
1592106615,20,38
1592108620,27,30
1592109254,11,25
1592110628,22,17
1592112853,34,49
1592115097,22,38
1592116452,16,23
1592118005,19,23
1592119354,30,14
1592120052,9,33
1592121345,19,18
1592123114,46,32
1592124443,18,45
1592126715,27,30
1592128213,21,38
1592129718,31,22
1592130853,15,33
1592132404,17,58
1592133914,23,4
1592135513,33,32
1592137339,23,23
1592138057,8,24
1592139603,22,40
1592141114,23,12
1592142712,21,42
1592144516,21,27
1592145253,10,33
1592146804,13,30
1592148315,18,5
1592148853,27,47
1592150068,277,17
1592151299,229,22
1592152454,131,26
1592154004,102,20
1592155437,87,4
1592156053,30,15
1592157530,36,18
1592159115,55,11
1592159651,24,20
1592161205,147,41
1592162690,127,16
1592163252,34,14
1592164472,67,4
1592165969,60,34
1592167914,64,46
1592169234,31,31
1592170593,57,25
1592172005,73,40
1592173220,62,8
1592174053,47,28
1592175608,60,14
1592177118,70,3
1592177652,18,17
1592179133,41,30
1592180715,44,22
1592181252,9,21
1592182352,44,7
1592183561,60,18
1592185036,60,26
1592186408,44,26
1592187917,43,13
1592188455,21,16
1592190058,40,31
1592191514,39,13
1592193016,44,44
1592195655,83,53
1592197208,54,34
1592198718,42,5
1592200219,34,46
1592201856,42,23
1592202858,31,31
1592204492,46,60
1592205918,42,4
1592207081,25,23
1592208554,40,18
1592210067,87,33
1592211234,51,17
1592212581,61,24
1592213658,39,28
1592215082,29,17
1592216211,30,26
1592218553,67,49
1592220005,51,22
1592220857,21,43
1592223918,191,77
1592224455,20,119
1592225955,71,27
1592228055,102,22
1592229616,63,32
1592231115,66,9
1592233744,129,56
1592235258,61,28
1592236467,40,23
1592238313,82,28
1592238855,24,15
1592240403,57,29
1592241912,58,6
1592242453,15,20
1592244005,52,31
1592245498,48,3
1592246863,39,33
1592249117,84,20
1592250241,41,40
1592251642,48,27
1592253258,61,27
1592254804,43,37
1592256152,44,17
1592256852,28,32
1592259917,120,35
1592260456,19,26
1592262004,39,42
1592263199,32,5
1592264055,22,29
1592265603,45,21
1592267117,52,7
1592268619,40,37
1592269861,49,15
1592271254,44,23
1592272808,44,26
1592274315,30,9
1592275818,36,48
1592277914,54,29
1592279416,42,39
1592282056,87,57
1592283429,41,11
1592285119,40,26
1592285660,22,30
1592287215,33,38
1592288360,26,5
1592289254,29,41
1592290810,41,31
1592292316,43,23
1592293474,42,35
1592294727,31,34
1592296456,39,31
1592298009,82,35
1592299390,41,14
1592300055,15,29
1592301617,50,30
1592303083,26,6
1592303653,13,44
1592306718,72,49
1592308007,27,50
1592310319,171,38
1592311820,161,42
1592314457,300,54
1592316014,223,23
1592317517,191,5
1592318058,52,22
1592319164,134,20
1592320600,224,37
1592321653,116,60
1592323087,209,11
1592324714,37,43
1592325251,9,32
1592326804,27,30
1592328313,26,11
1592328853,11,37
1592330404,40,54
1592331796,23,13
1592332452,24,33
1592334000,36,38
1592335515,34,11
1592336921,37,39
1592338113,33,22
1592339675,40,35
1592341199,54,34
1592342712,42,9
1592344155,30,39
1592346856,62,64
1592348417,27,41
1592349915,38,16
1592351391,40,49
1592353515,41,36
1592354054,9,37
1592355613,36,37
1592357119,32,14
1592358615,25,58
1592361254,59,66
1592362807,32,36
1592363990,26,10
1592366241,47,60
1592367801,28,31
1592368456,7,27
1592370019,32,24
1592371516,28,7
1592373018,38,47
1592374140,14,22
1592375654,33,41
1592377212,50,42
1592378718,34,7
1592379256,14,82
1592380464,21,13
1592382315,43,37
1592383818,31,46
1592386452,39,61
1592387699,16,21
1592388807,26,25
1592390060,29,34
1592391370,24,22
1592393114,35,37
1592393659,13,38
1592394946,25,14
1592396715,26,27
1592398222,23,52
1592400856,49,70
1592402186,15,27
1592403916,41,26
1592404455,7,43
1592408053,74,79
1592409428,32,21
1592411654,46,62
1592413200,34,26
1592414713,31,11
1592415918,15,61
1592417293,27,29
1592418854,34,37
1592420419,14,42
1592421916,38,6
1592422453,8,34
1592423881,35,14
1592425515,26,45
1592426056,8,38
1592429113,58,56
1592429653,23,41
1592431015,36,16
1592433252,44,51
1592434553,21,14
1592436317,26,27
1592436855,8,37
1592438416,29,46
1592439916,30,7
1592440454,4,49
1592442007,24,30
1592443515,22,13
1592444056,11,32
1592445607,24,43
1592446900,37,8
1592447656,15,41
1592449213,24,39
1592450719,33,15
1592451260,12,43
1592452788,33,52
1592454321,27,13
1592454857,7,38
1592456405,34,26
1592457919,27,10
1592458457,7,38
1592460007,29,72
1592462059,32,40
1592463288,18,5
1592464461,15,54
1592465750,18,30
1592467016,19,22
1592468722,25,87
1592469996,21,36
1592472243,27,41
1592473439,15,50
1592474803,22,26
