DateTime,AddedIPs,RemovedIPs
1591472181,7,18
1591474092,8,14
1591476004,8,0
1591477938,12,31
1591479850,11,13
1591481767,6,26
1591483694,12,31
1591485609,12,19
1591487526,16,13
1591489460,8,11
1591491367,12,22
1591493287,12,0
1591495223,10,25
1591497198,14,30
1591499293,13,22
1591501208,9,31
1591503140,9,0
1591505048,11,9
1591506965,16,11
1591508894,8,19
1591510807,11,9
1591512726,16,16
1591514656,14,12
1591516564,13,26
1591518485,13,7
1591520426,14,19
1591522332,12,9
1591524494,13,18
1591526408,10,12
1591528338,8,24
1591530247,11,27
1591532164,8,22
1591534097,6,27
1591536009,19,16
1591537926,7,13
1591539857,2,17
1591541766,2,20
1591543695,13,16
1591545622,7,19
1591547530,6,11
1591549459,16,21
1591551399,14,23
1591553537,9,19
1591555447,14,16
1591557364,14,26
1591559318,6,15
1591561206,12,0
1591563137,15,14
1591565047,10,21
1591566964,5,27
1591568886,4,20
1591570812,10,25
1591572741,10,18
1591574647,8,29
1591576567,11,15
1591578502,4,40
1591580409,10,37
1591582347,9,37
1591584246,17,29
1591586165,11,26
1591588097,7,14
1591590008,14,10
1591591927,4,22
1591593859,9,9
1591595767,15,17
1591597685,7,11
1591599631,12,15
1591601532,7,9
1591603448,7,24
1591605624,8,20
1591607533,6,10
1591609447,13,27
1591611365,17,18
1591613291,6,0
1591615216,23,0
1591617129,26,0
1591619049,8,19
1591622883,10,31
1591624811,24,20
1591626742,28,6
1591628910,29,7
1591630807,41,14
1591632729,25,17
1591634657,13,8
1591636565,19,19
1591638484,24,0
1591640415,12,16
1591642326,29,16
1591644246,18,18
1591646176,22,8
1591648085,22,21
1591650014,8,19
1591651949,14,20
1591653918,17,11
1591655781,25,20
1591657695,15,15
1591659607,15,14
1591661541,14,11
1591663448,13,22
1591665366,8,18
1591667298,10,13
1591669208,15,11
1591671129,14,7
1591673058,14,15
1591674965,10,17
1591676886,10,15
1591678829,10,10
1591680730,8,21
1591682660,12,19
1591684567,19,0
1591686511,16,16
1591688409,16,17
1591690329,13,20
1591692299,6,14
1591694166,8,19
1591696086,2,9
1591698016,15,14
1591699932,9,10
1591701848,9,13
1591703779,12,13
1591707630,21,21
1591709534,15,12
1591711449,18,11
1591713380,4,6
1591715296,21,0
1591717211,20,12
1591719142,8,9
1591721048,7,12
1591722968,28,10
1591724901,19,26
1591726810,36,13
1591728730,29,24
1591730660,8,17
1591732567,33,5
1591734486,16,18
