DateTime,AddedIPs,RemovedIPs
1591472181,46,65
1591474092,27,45
1591476004,30,30
1591477938,43,28
1591479850,39,43
1591481767,44,41
1591483694,52,42
1591485609,50,53
1591487526,54,49
1591489460,58,54
1591491367,67,59
1591493287,66,67
1591495223,60,65
1591497198,64,58
1591499293,66,63
1591501208,57,66
1591503140,64,60
1591505048,59,62
1591506965,57,63
1591508894,67,56
1591510807,64,64
1591512726,68,64
1591514656,60,67
1591516564,45,62
1591518485,40,49
1591520426,58,36
1591522332,63,58
1591524494,62,59
1591526408,63,66
1591528338,57,67
1591530247,63,55
1591532164,63,60
1591534097,47,65
1591536009,59,46
1591537926,52,60
1591539857,12,55
1591541766,20,12
1591543695,66,20
1591545622,57,65
1591547530,52,47
1591549459,57,58
1591551399,53,63
1591553537,47,50
1591555447,61,49
1591557364,55,60
1591559318,35,52
1591561206,35,37
1591563137,40,33
1591565047,34,42
1591566964,45,35
1591568886,36,44
1591570812,40,35
1591572741,43,39
1591574647,47,45
1591576567,46,47
1591578502,35,45
1591580409,41,33
1591582347,52,38
1591584246,53,57
1591586165,59,52
1591588097,63,60
1591590008,54,57
1591591927,52,52
1591593859,41,62
1591595767,49,40
1591597685,39,48
1591599631,46,40
1591601532,45,43
1591603448,45,44
1591605624,34,47
1591607533,34,30
1591609447,44,41
1591611365,46,45
1591613291,30,46
1591615216,65,30
1591617129,61,64
1591619049,44,62
1591622883,51,40
1591624811,67,52
1591626742,58,68
1591628910,66,57
1591630807,76,68
1591632729,73,76
1591634657,52,69
1591636565,59,54
1591638484,62,58
1591640415,64,64
1591642326,66,63
1591644246,59,68
1591646176,58,59
1591648085,65,57
1591650014,57,64
1591651949,59,57
1591653918,60,56
1591655781,57,56
1591657695,45,62
1591659607,59,45
1591661541,54,58
1591663448,49,55
1591665366,52,52
1591667298,42,48
1591669208,56,42
1591671129,49,56
1591673058,66,51
1591674965,44,63
1591676886,56,47
1591678829,54,59
1591680730,45,50
1591682660,49,44
1591684567,56,47
1591686511,53,60
1591688409,54,56
1591690329,26,54
1591692299,33,27
1591694166,42,28
1591696086,35,45
1591698016,45,35
1591699932,42,47
1591701848,35,41
1591703779,43,34
1591707630,56,43
1591709534,51,54
1591711449,47,48
1591713380,15,50
1591715296,53,16
1591717211,42,53
1591719142,41,42
1591721048,44,44
1591722968,65,44
1591724901,60,63
1591726810,68,60
1591728730,69,69
1591730660,46,70
1591732567,63,42
1591734486,53,66
1591736423,72,54
1591738697,63,71
1591744570,59,58
1591746488,63,64
1591748420,71,62
1591750329,69,72
1591752249,67,64
