DateTime,AddedIPs,RemovedIPs
1591376718,2,5
1591377016,2,0
1591377916,1,0
1591380616,1,0
1591381518,2,0
1591383916,0,1
1591385117,1,0
1591387815,1,0
1591388416,11,1
1591388718,1,0
1591394716,1,0
1591401917,0,1
1591405816,2,0
1591423517,1,0
1591424722,4,0
1591425316,1,0
1591425617,16,0
1591426816,1,0
1591428618,8,0
1591430719,0,1
1591431017,2,0
1591431917,5,0
1591435516,3,0
1591439118,3,0
1591442718,3,0
1591448716,0,3
1591453516,1,0
1591457118,1,0
1591459517,0,2
1591460417,270,0
1591460717,2,0
1591463715,1,0
1591465217,0,1
1591469715,0,5
1591470017,1,5
1591470318,1,2
1591471518,0,1
1591474216,1,0
1591477816,1,0
1591482915,0,2
1591491917,1,0
1591493117,1,0
1591495516,1,0
1591495816,1,0
1591499417,15,0
1591502720,0,1
1591506317,0,2
1591509916,0,2
1591525516,0,2
1591527917,0,1
1591529115,35,0
1591531516,0,1
1591532718,3,0
1591536317,4,0
1591538718,0,2
1591539917,3,0
1591542616,2,0
1591543217,0,1
1591543516,1,0
1591545917,0,1
1591547118,1,0
1591549518,0,1
1591550116,0,1
1591553116,0,1
1591554318,1,0
1591556716,1,0
1591560316,49,0
1591560918,112,0
1591561517,1,0
1591563918,10,0
1591564215,12,0
1591567516,2,0
1591567817,10,0
1591568717,1,0
1591571116,2,0
1591571417,4,0
1591574719,2,0
1591575015,1,0
1591578318,2,0
1591579518,1,0
1591581916,2,1
1591585519,0,1
1591585815,1,0
1591589117,0,2
1591589416,3,0
1591592716,0,1
1591593921,13,0
1591596316,0,2
1591599917,1,1
1591600217,1,0
1591601119,3,0
1591603816,1,0
1591605016,2,0
1591608317,2,0
1591612219,0,1
1591612515,0,12
1591614916,1,0
1591615517,1,0
1591618216,1,0
1591619417,13,0
1591619716,5,0
1591621520,1,1
1591625119,0,1
1591625419,2,0
1591628716,0,2
1591632318,0,1
1591632918,33,1
1591633519,1,0
1591636216,1,0
1591642516,240,0
1591643117,1,1
1591643716,1,0
1591644316,1,0
1591645518,12,0
1591650317,17,1
1591650617,139,0
1591652117,0,1
1591652416,7,0
1591653917,2,0
1591654216,21,0
1591657516,2,0
1591657817,7,0
1591661119,2,0
1591661417,5,0
1591664719,0,1
1591665016,3,0
1591668316,1,0
1591668616,1,0
1591672518,1,0
1591675517,1,1
1591675816,2,0
1591679116,1,0
1591679717,1,0
1591680321,9,0
1591682716,10,0
1591683016,2,0
1591683923,3,0
1591686317,0,1
1591689918,2,2
1591693817,1,0
1591694716,4,0
1591696817,0,2
