DateTime,AddedIPs,RemovedIPs
1589322619,0,1
1589370619,0,1
1589390120,0,1
1589390420,0,1
1589391622,0,1
1589420118,1,0
1589454021,0,1
1589544322,0,1
1589544620,0,3
1589577621,0,3
1589700021,0,1
1589707519,0,2
1589707820,0,4
1589708118,0,1
1589714122,0,1
1589764819,0,2
1589771721,0,3
1589805022,0,1
1589831719,1,0
1589832024,2,0
1589835024,0,1
1589838919,0,1
1589908819,1,0
1590012921,1,0
1590036022,0,18
1590045020,0,2
1590054021,0,1
1590073822,19,0
1590168624,0,13
1590210618,1,0
1590272722,0,2
1590273020,0,7
1590334819,2,0
1590335124,4,0
1590335421,1,0
1590335719,1,0
1590336021,1,0
1590336324,4,0
1590351621,1,0
1590375920,0,1
1590376521,0,2
1590377120,0,1
1590509122,3,0
1590600621,0,1
1590603622,0,3
1590604223,0,1
1590606922,0,1
1590607522,0,2
1590666022,0,2
1590686724,0,1
1590705023,0,17
1590707419,1,0
1590712518,0,1
1590865522,3,0
1590878421,0,1
1590879022,0,1
1590879317,0,1
1590879622,0,1
1591024822,0,1
1591044620,1,0
1591227617,190,0
1591228516,169,0
1591229417,1,0
1591233618,0,27
1591233917,0,1
1591292116,1,0
1591409116,0,1
1591409417,0,1
1591409716,0,1
1591450216,0,1
1591482317,0,9
1591554018,0,1
1591565716,0,1
1591582216,6,0
1591583418,2,0
1591584017,2,0
1591586717,1,0
1591588817,1,0
1591589117,1,0
1591589416,1,0
1591591218,1,0
1591592418,2,0
1591594516,1,0
1591594816,1,0
1591596316,2,0
1591597217,1,0
1591598116,1,0
1591598418,1,0
1591599617,1,0
1591601716,1,0
1591602616,1,0
1591603517,1,0
1591604418,1,0
1591606216,1,0
1591607416,1,0
1591611018,1,0
1591613416,1,0
1591613715,1,0
1591616117,3,0
1591617017,0,1
1591617316,1,0
1591621218,1,0
1591623617,1,0
1591625420,1,0
1591626017,1,0
1591675816,0,1
1591696218,1,0
1591697418,1,0
1591698317,1,0
1591698620,1,0
1591698916,3,0
1591699217,1,0
1591700419,1,0
1591702817,1,0
1591703418,1,0
1591706116,2,0
1591706719,1,0
1591707316,1,0
1591708516,1,0
1591710017,1,0
1591743916,1,0
1591796417,1,0
1591796719,1,0
1591798217,1,0
1591798817,1,0
1591799118,1,0
1591800318,1,0
1591802417,0,10
1591816516,1,0
1591817119,1,0
1591817418,1,0
1591818016,2,0
1591818916,1,0
1591819518,1,0
1591821017,1,0
1591822517,1,0
1591823119,1,0
1591825216,1,0
1591825517,2,0
1591825818,2,0
1591827019,1,0
1591827317,1,0
1591829118,1,0
1591830018,1,0
1591830917,1,0
1591831816,1,0
1591832116,1,0
1591832417,1,0
1591833316,2,0
1591833619,1,0
1591836617,1,0
1591839016,1,0
1591839918,1,0
1591840818,1,0
1591841117,1,0
1591841717,1,0
1591845919,2,0
1591848318,1,0
1591848918,1,0
1591851618,0,1
1591855817,1,0
1591856117,1,0
1591860017,1,0
1591875316,3,0
1591875618,1,0
1591875916,1,0
1591876216,1,0
1591876516,1,0
1591877117,1,0
1591877417,1,0
1591877719,2,0
1591878018,2,0
1591878319,1,0
1591882218,1,0
1591882517,1,0
1591884017,1,0
1591884317,1,0
1591887018,2,0
1591889117,1,0
1591889417,2,0
1591890319,1,0
1591890916,1,0
1591891518,1,0
1591891817,1,0
1591892118,1,0
1591892417,1,0
1591898419,1,0
1591903516,2,0
1591903818,1,0
1591908018,2,0
1591908318,1,0
1591908916,1,0
1591909218,1,0
1591909518,1,0
1591910417,1,0
1591911017,1,0
1591911316,1,0
1591912217,4,0
1591912516,1,0
1591913118,1,0
1591913416,1,0
1591913717,1,0
1591914619,2,0
1591914916,1,0
1591915518,1,0
1591917017,2,0
1591918216,1,0
1591918817,3,0
1591919417,2,0
1591920019,3,0
1591920317,1,0
1591927516,0,1
1591944917,0,2
1591948817,1,0
1591949417,1,0
1591950018,1,0
1591950317,1,0
1591950617,2,0
1591950916,1,0
1591951519,1,0
1591952116,1,0
1591953617,1,0
1591953919,2,0
1591954817,2,0
1591955716,2,0
1591957217,1,0
1591957518,2,0
1591957819,1,0
1591958116,1,0
1591958717,1,0
1591959618,1,0
1591960819,2,0
1591961418,1,0
1591961716,1,0
1591962616,2,0
1591963518,1,0
1591963817,1,0
1591964418,1,0
1591964718,1,0
1591965316,1,0
1591966218,1,0
1591966516,1,0
1591968017,1,0
1591970417,2,0
1591971317,1,0
1591972218,1,0
1591973417,1,7
1591974317,1,0
1591974916,2,0
1591975515,1,0
1591976417,1,0
1591977918,2,0
1591978218,1,0
1591978516,2,0
1591979118,1,0
1591980916,1,0
1591981218,1,0
1591981518,1,0
1591983617,1,0
1591984217,1,0
1591984516,1,0
1591985119,2,0
1591985719,1,0
1591986017,1,0
1591986318,2,0
1591987218,2,0
1591987517,2,0
1591988418,2,0
1591989021,2,0
1591989318,1,0
1591989617,1,0
1591992318,1,0
1591992918,539,0
1591993817,1,0
1591994119,1,0
1591996518,1,0
1591997716,3,0
1591998916,2,0
1591999218,1,0
1591999517,1,0
1592000116,1,0
1592000417,1,0
1592000718,2,0
1592001917,2,0
1592002516,1,0
1592004316,1,0
1592005519,1,0
1592040617,1,0
1592040916,1,0
1592042719,1,0
1592043018,1,0
1592043918,1,0
1592044218,1,0
1592047518,1,0
1592048418,1,0
1592050817,1,0
1592051417,1,0
1592052917,1,0
1592053219,1,0
1592053519,1,0
1592055917,1,0
1592056217,1,0
1592058317,1,0
1592058916,1,0
1592059219,1,0
1592059817,2,0
1592060418,1,0
1592061918,1,0
1592063418,1,0
1592064319,1,0
1592064618,2,0
1592067016,1,0
1592069418,1,0
1592070318,0,2
1592070616,0,3
1592072117,1,0
1592073316,2,0
1592073619,1,0
1592073919,1,0
1592074216,1,0
1592076916,1,0
1592077517,1,0
1592078116,1,0
1592078418,1,0
1592081116,1,0
1592081716,2,0
1592082018,1,0
1592082918,1,0
1592083816,1,0
1592084417,1,0
1592085017,3,0
1592086216,1,0
1592086517,1,0
1592093716,1,0
1592094318,2,0
1592103018,1,0
1592103618,1,0
1592115618,1,0
1592126717,1,0
1592127016,1,0
1592127316,1,0
1592127919,1,0
1592128819,2,0
1592130317,1,0
1592130916,1,0
1592131519,2,0
1592131819,1,0
1592132717,1,0
1592133618,1,0
1592134817,1,0
1592135117,1,0
1592135716,1,0
1592136317,3,0
1592136917,4,0
1592137218,1,0
1592137517,2,0
1592137817,3,0
1592138419,1,0
1592139317,2,0
1592140216,3,0
1592140519,1,0
1592142017,1,0
1592143518,4,0
1592144417,1,0
1592144717,1,0
1592145017,1,0
1592145317,1,0
1592146817,1,0
1592147417,1,0
1592148018,2,0
1592148617,1,0
1592150116,1,0
1592150418,1,0
1592151019,1,0
1592151617,1,0
1592151919,1,0
1592152818,1,0
1592153119,1,0
1592153416,4,0
1592153716,1,0
1592154018,1,0
1592154917,1,0
1592156417,1,0
1592156717,1,0
1592157316,1,0
1592157618,2,0
1592157917,1,0
1592158217,1,0
1592158519,2,0
1592158818,1,0
1592159118,1,0
1592159417,1,0
1592159716,1,0
1592160318,1,0
1592162719,1,0
1592163018,2,0
1592163917,2,0
1592164818,1,0
1592165117,1,0
1592165419,1,0
1592166017,1,0
1592166618,2,0
1592166916,3,0
1592167517,1,2
1592167817,2,0
1592169618,1,0
1592169919,2,0
1592171716,1,0
1592174116,2,0
1592174720,1,0
1592178316,1,0
1592202321,0,1
1592236818,0,3
1592238017,0,1
1592241317,0,1
1592252717,0,1
1592298318,1,0
1592298618,1,0
1592300117,1,0
1592300418,1,0
1592300720,1,0
1592301019,1,0
1592301318,2,0
1592302521,1,0
1592302818,5,0
1592303117,1,0
1592303419,1,0
1592304317,2,0
1592304916,1,0
1592307316,1,0
1592307617,1,0
1592308819,2,0
1592309116,1,0
1592314218,1,0
1592315117,1,0
1592315416,1,0
1592315717,1,0
1592316018,1,0
1592317817,1,0
1592318418,2,0
1592319018,1,0
1592321419,0,1
1592322017,1,0
1592322619,1,0
1592323217,1,0
1592323819,2,0
1592325018,1,0
1592325918,2,0
1592328017,3,0
1592328916,1,0
1592329218,1,0
1592329817,2,0
1592330115,1,0
1592330419,1,0
