DateTime,AddedIPs,RemovedIPs
1591805417,6,0
1591805717,2,1
1591806916,5,0
1591807216,1,0
1591807518,2,0
1591808116,1,0
1591808718,2,0
1591809917,1,0
1591810816,3,0
1591811118,1,0
1591812018,1,0
1591812317,1,0
1591812916,2,0
1591813218,1,0
1591813519,3,0
1591814719,1,0
1591815317,1,0
1591815619,1,0
1591816217,4,0
1591817716,1,0
1591818016,1,0
1591818317,1,0
1591819217,7,0
1591819518,1,0
1591819818,1,0
1591820117,2,0
1591820418,1,0
1591822218,1,0
1591822517,1,0
1591822819,1,0
1591823119,3,0
1591823716,1,0
1591824319,2,0
1591824616,1,0
1591824917,2,0
1591825216,1,0
1591825517,1,0
1591825818,2,0
1591826116,1,0
1591826418,2,0
1591826719,2,0
1591827317,1,0
1591827918,1,0
1591828216,1,0
1591829418,1,0
1591831518,4,0
1591832116,1,0
1591833016,1,0
1591833316,2,0
1591833919,2,0
1591834217,10,0
1591835118,12,0
1591835417,2,0
1591836617,1,0
1591836916,1,0
1591838718,1,0
1591839616,1,0
1591839918,3,0
1591842915,1,0
1591844418,1,0
1591844717,1,0
1591845016,1,0
1591845617,1,0
1591845919,1,0
1591848019,2,0
1591848318,1,0
1591849217,1,0
1591851017,1,0
1591851619,1,0
1591854617,2,0
1591855817,2,0
1591859419,2,0
1591859718,1,0
1591863017,6,0
1591875618,1,0
1591875916,1,0
1591877117,1,0
1591877719,1,0
1591878319,2,0
1591878619,3,0
1591878916,1,0
1591879217,1,0
1591880418,1,0
1591882817,1,0
1591883417,1,0
1591884317,1,0
1591884916,1,0
1591888817,0,12
1591890319,1,0
1591890616,2,0
1591891217,1,0
1591891817,5,0
1591893617,1,0
1591894516,1,0
1591894818,0,1
1591895416,1,0
1591896017,2,0
1591896317,1,0
1591897216,0,1
1591899918,1,0
1591901119,1,0
1591902617,1,0
1591903516,1,0
1591904116,1,0
1591904416,1,0
1591907119,0,1
1591908018,2,0
1591908319,1,0
1591908617,2,0
1591908917,3,0
1591909218,1,0
1591910417,1,0
1591910718,1,0
1591911316,2,0
1591911618,2,0
1591912217,1,0
1591912516,2,0
1591912819,5,0
1591913118,1,0
1591913717,26,0
1591914017,1,0
1591914318,2,0
1591914619,2,0
1591916116,1,0
1591917017,1,0
1591918216,2,0
1591918516,3,0
1591918817,3,0
1591919417,3,0
1591919716,1,0
1591920317,2,0
1591920617,18,0
1591923916,4,0
1591944917,0,2
1591945217,0,1
1591948516,1,0
1591949116,2,0
1591949417,7,0
1591949719,2,0
1591950018,2,0
1591950916,1,0
1591951219,1,0
1591951818,1,0
1591952116,2,0
1591952417,1,0
1591952718,1,0
1591953016,2,0
1591954516,1,0
1591954817,1,0
1591955118,1,0
1591955716,1,0
1591956017,1,0
1591956616,1,0
1591957217,2,0
1591957518,1,0
1591957819,1,0
1591958418,2,0
1591958717,1,0
1591959016,1,0
1591961117,3,0
1591962318,3,0
1591962616,4,0
1591962916,2,0
1591963518,1,0
1591964118,2,0
1591964718,1,0
1591965017,1,0
1591965617,2,0
1591965916,2,0
1591966516,1,0
1591967418,1,0
1591968017,3,0
1591968317,1,0
1591968618,0,1
1591968916,1,0
1591969518,2,0
1591969817,2,0
1591970417,1,0
1591971017,2,0
1591971317,1,0
1591972218,1,0
1591972516,1,0
1591972818,1,0
1591973716,1,0
1591974018,2,0
1591974317,1,0
1591974916,1,0
1591975516,2,0
1591975818,1,0
1591976116,2,0
1591977016,1,0
1591977918,1,0
1591978218,14,0
1591979118,1,0
1591980318,1,0
1591980616,1,0
1591982417,1,1
1591982719,1,0
1591983017,1,0
1591983317,64,0
1591983618,2,0
1591984217,1,0
1591984818,1,0
1591985119,1,0
1591986017,2,0
1591986319,1,0
1591986617,2,0
1591988418,1,0
1591988721,5,0
1591992318,1,0
1591993519,1,0
1591994119,1,0
1591994418,1,0
1591994717,1,0
1591995318,1,0
1591995917,1,0
1591996518,1,0
1591997117,1,0
1591997418,2,0
1591998617,2,0
1591999218,1,0
1591999518,2,0
1591999820,1,0
1592000718,1,0
1592001618,1,0
1592003718,42,0
1592004316,1,0
1592004916,1,0
1592005519,1,0
1592007018,9,0
1592010619,0,1
1592025317,6,2
1592035817,7,0
1592040916,1,0
1592042116,1,0
1592042418,1,0
1592043018,2,0
1592043618,4,2
1592044516,1,0
1592045716,2,0
1592048116,2,0
1592048418,1,0
1592048717,2,0
1592049618,2,0
1592049918,2,0
