DateTime,AddedIPs,RemovedIPs
1591679288,28,36
1591680730,13,11
1591682660,295,14
1591684567,30,10
1591686511,20,14
1591688409,278,9
1591690329,14,18
1591692299,5,9
1591694166,16,9
1591695002,250,0
1591696086,10,13
1591698016,20,14
1591699932,17,6
1591701848,9,26
1591703779,126,35
1591705803,245,0
1591707630,22,10
1591709534,21,15
1591711449,17,30
1591713380,113,24
1591715296,26,0
1591717211,23,81
1591717502,249,0
1591719142,9,34
1591721048,9,0
1591722968,34,37
1591724901,23,23
1591726810,242,0
1591728730,34,48
1591730660,10,17
1591732567,397,0
1591734486,11,50
1591736423,45,13
1591738697,29,16
1591739102,203,0
1591744570,38,59
1591746488,59,89
1591746985,922,751
1591748420,28,16
1591750329,28,16
1591750801,185,3028
1591752249,24,12
1591754180,25,12
1591754402,120,0
1591756087,22,13
1591756331,83,79
1591758021,28,15
1591760009,198,16
1591761847,28,16
1591762501,91,0
1591763770,20,23
1591764250,21,0
1591765704,27,15
1591767607,35,9
1591769528,6,11
1591769702,251,0
1591771458,12,25
1591775285,11,34
1591777218,117,13
1591779129,26,7
1591781051,15,16
1591782975,276,11
1591784884,17,14
1591786809,22,20
1591788744,152,10
1591790652,29,13
1591792815,355,0
1591794746,17,13
1591796649,14,21
1591798582,22,11
1591799401,284,0
1591800742,16,2
1591802650,13,20
1591804572,35,20
1591806499,4,8
1591808409,154,6
1591810332,42,32
1591812264,287,19
1591814168,34,26
1591816106,23,28
1591818005,173,8
1591819926,26,34
1591821859,282,11
1591823765,27,37
1591825685,14,31
1591827617,16,0
1591829101,241,0
1591829526,29,0
1591831450,62,29
1591832702,107,0
1591833376,43,22
1591835284,18,27
1591836302,101,2944
1591837219,34,29
1591837928,814,811
1591839142,25,30
1591839902,122,0
1591841526,40,0
1591842967,20,48
1591844903,19,29
1591845366,36,75
1591846811,17,26
1591847103,291,0
1591848730,33,30
1591849205,17,19
1591850660,33,25
1591850702,126,0
1591852565,35,34
1591854490,19,30
1591856424,12,9
1591858342,142,10
1591860247,128,0
1591862178,12,8
1591864089,9,13
1591866013,149,26
1591868013,38,15
1591868701,299,0
1591869853,30,16
1591871768,17,16
1591873704,9,18
1591875607,23,35
1591875902,222,0
1591877547,19,29
1591879451,14,38
1591881367,20,15
1591883296,15,15
1591884003,343,0
1591885207,17,17
1591887128,25,0
1591887602,118,0
1591889059,15,33
1591890978,15,27
1591891202,123,0
1591893252,36,8
1591895069,152,32
1591896967,21,40
1591898402,113,0
1591898891,26,31
1591900818,26,34
1591902002,134,0
1591902730,29,23
1591904647,29,23
1591905603,123,0
1591906571,14,26
1591908490,18,22
1591910420,11,24
1591912326,26,14
1591912802,200,0
1591914255,20,16
1591916166,18,27
1591916889,154,42
1591918086,23,25
1591920023,14,41
1591921927,20,15
1591923602,220,2958
1591925779,18,60
1591927689,15,0
1591928886,858,786
1591929609,23,17
1591930087,77,81
1591931538,249,18
1591933446,18,14
1591935370,20,30
1591937765,25,45
1591938901,256,0
1591939205,16,66
1591941128,14,21
1591943061,13,11
1591944969,32,25
1591946102,266,0
1591946885,24,12
1591948821,17,10
1591950727,12,8
1591952896,13,27
1591954806,137,34
1591956744,25,31
1591956902,239,0
1591958648,18,22
1591960813,16,9
1591962727,21,20
1591964661,146,21
1591966567,119,12
1591968485,17,22
1591969933,794,0
1591970424,28,12
1591972324,110,14
1591974499,21,22
1591975801,224,0
1591976422,17,13
1591979402,93,0
1591980262,28,48
1591982171,29,21
