DateTime,AddedIPs,RemovedIPs
1592096521,1,0
1592097121,2,0
1592097722,2,0
1592098321,1,0
1592098801,34,23
1592098921,8,0
1592100121,11,0
1592101321,4,0
1592101981,0,1
1592102644,47,47
1592103721,9,0
1592104921,2,0
1592105521,4,0
1592106121,2,0
1592107321,11,0
1592108401,52,51
1592108521,1,0
1592109721,2,0
1592110322,40,31
1592111211,1,0
1592112121,2,0
1592112782,2,0
1592114162,29,24
1592114522,1,0
1592115193,1,0
1592115721,5,0
1592116921,6,0
1592118005,13,9
1592118122,2,0
1592119921,17,225
1592119981,1,1
1592120521,3,0
1592122082,211,0
1592122922,7,0
1592124002,14,6
1592124121,1,0
1592124722,1,0
1592125922,25,13
1592127122,1,0
1592127882,1091,1048
1592128321,1,0
1592128921,3,0
1592130121,7,0
1592131682,17,34
1592131921,2,0
1592132521,3,0
1592133602,35,17
1592133721,6,0
1592134922,12,0
1592136121,9,0
1592136721,1,0
1592137442,35,40
1592137921,5,0
1592138521,1,0
1592139362,16,22
1592139721,19,0
1592140321,8,0
1592140922,1,0
1592141522,18,26
1592142121,1,0
1592142721,3,0
1592143921,3,0
1592145843,11,22
1592146321,1,0
1592146921,1,0
1592147521,4,0
1592147761,21,16
1592148121,9,0
1592149322,3,0
1592149682,16,21
1592149922,3,0
1592150521,8,0
1592151121,4,0
1592151602,21,16
1592151721,4,0
1592152921,3,0
1592153523,27,14
1592154121,3,0
1592155321,3,0
1592155921,1,0
1592155981,2,0
1592156521,4,0
1592157362,13,20
1592157721,2,0
1592158321,5,0
1592158922,4,0
1592159521,5,1
1592159582,0,1
1592160121,7,0
1592161202,18,23
1592161322,7,0
1592162521,3,0
1592163122,18,52
1592165282,48,0
1592165522,7,0
1592166121,5,0
1592167202,30,16
1592167321,4,0
1592168833,4,0
1592169721,8,0
1592171042,20,21
1592172121,10,0
1592173321,9,0
1592174521,7,0
1592174882,15,21
1592175721,1,0
1592178121,6,0
1592178722,42,18
1592180521,4,0
1592181121,3,0
1592181721,4,0
1592182562,14,20
1592182921,5,0
1592183521,1,0
1592184121,1,0
1592185322,4,0
1592186404,30,22
1592186522,5,0
1592187721,6,0
1592188322,45,56
1592188921,6,0
1592190122,5,0
1592191321,1,0
1592191921,8,0
1592192161,46,40
1592192522,7,0
1592193721,1,1
1592194321,1,0
1592194922,2,0
1592196002,35,32
1592196121,16,0
1592197321,2,0
1592198521,2,0
1592199843,35,23
1592200921,0,1
1592201761,23,16
1592202122,6,0
1592203322,2,0
1592204521,0,1
1592205721,3,1
1592206922,4,0
1592207521,21,22
1592208121,15,0
1592209321,4,0
1592210521,4,0
1592211361,20,17
1592211722,2,0
1592212921,7,0
1592213522,4,0
1592214121,5,0
1592214721,1,0
1592215012,1061,646
1592215443,28,8
1592215921,4,0
1592216521,14,0
1592217362,23,13
1592217721,4,0
1592218321,20,0
1592218921,3,0
1592221202,21,24
1592221321,11,0
1592221921,2,0
1592222521,2,0
1592223121,13,0
1592223721,5,0
1592224321,1,0
1592225042,14,23
1592225521,5,0
1592227321,1,1
1592228521,2,0
1592228881,18,22
1592229121,6,0
1592229721,2,0
1592230322,4,0
1592231582,8,0
1592232122,3,0
1592232962,25,26
1592233921,4,0
1592234521,5,0
1592235721,4,0
1592236321,1,0
1592236803,15,19
1592237002,6,0
1592237522,13,0
1592238725,18,777
1592238781,5,0
1592239321,3,0
1592240882,775,10
1592241721,6,0
1592242921,8,0
1592243521,3,0
1592244122,6,0
1592245321,1,0
1592245921,3,0
1592246521,2,0
1592246882,13,25
1592247722,2,0
1592248321,4,0
1592248922,1,0
1592250122,2,0
1592250721,27,19
1592251321,2,0
1592251921,5,0
1592252521,1,0
1592253721,5,0
1592254563,15,22
1592254922,3,1
1592256122,12,0
1592256722,4,0
1592257321,2,0
1592259721,7,0
1592260321,22,695
1592260921,5,0
1592262242,676,0
1592263322,9,0
1592264161,33,14
1592264522,1,0
1592265721,8,0
1592266921,4,1
1592268002,13,21
1592268121,4,0
1592269321,1,0
1592270522,10,0
1592271842,39,23
1592272921,3,0
1592273521,4,0
1592274721,1,0
1592274781,1,0
1592275321,1,0
1592275682,50,46
1592276674,1,1
1592277121,1,0
1592278922,8,0
1592279522,54,53
1592280721,2,0
1592281321,8,0
1592282521,3,0
1592283362,29,39
1592283721,3,0
1592284401,1,0
1592284921,9,0
1592285521,3,0
1592286122,6,0
1592287210,40,27
1592287321,2,0
1592287921,6,0
1592288521,5,0
1592289122,8,1698
1592289722,4,0
1592291285,1695,0
1592292121,3,0
1592293202,25,12
1592293321,11,0
1592294521,2,0
1592295721,6,0
1592297042,18,23
1592297521,0,1
1592298122,4,0
1592298962,21,14
1592299321,19,0
1592299921,4,0
1592300521,1,0
1592301121,10,0
1592301721,3,0
1592302321,17,0
1592302921,9,0
1592304121,6,0
1592304721,26,11
1592305321,10,0
1592305921,2,0
1592307721,7,0
1592308562,13,25
1592310121,9,1
1592311321,2,0
1592312884,17,22
1592313121,10,0
1592313721,4,0
1592314802,18,18
1592314921,15,1
1592315521,2,0
1592316121,7,0
1592316722,2,0
1592317321,4,0
1592317921,1,1
1592318642,22,20
1592319722,22,1
1592320921,6,0
1592321521,2,0
1592322122,4,0
1592322482,21,17
1592323321,7,0
1592324521,4,0
1592325121,7,0
1592325989,0,72
1592326322,25,27
1592326921,19,0
1592327521,5,0
1592328122,3,0
1592328721,1,0
1592329921,5,0
1592330522,4,0
1592331721,2,0
1592332323,31,27
1592333522,1,0
1592334241,0,1171
1592334721,8,0
1592335322,12,0
1592336161,1171,0
1592336522,2,0
1592337121,0,1
1592337721,7,0
1592338081,16,22
1592338921,3,0
1592340002,17,21
1592340121,5,0
1592340721,2,0
1592341322,10,0
1592341922,40,30
1592342522,5,0
1592343122,2,0
1592343842,36,55
1592344921,10,1
1592345522,3,0
1592346121,1,0
1592347322,1,0
1592347681,24,23
1592347921,3,1
1592348521,4,0
1592349721,7,0
