DateTime,AddedIPs,RemovedIPs
1592193814,41,20
1592194534,31,20
1592195303,45,56
1592195974,19,18
1592196694,28,28
1592197212,22,0
1592197414,30,17
1592198134,26,29
1592198854,34,21
1592199619,38,23
1592200294,29,17
1592201312,57,85
1592201974,28,21
1592202693,29,15
1592203207,10,0
1592203414,31,15
1592204134,35,18
1592204854,32,21
1592205127,17,15
1592205366,1,0
1592205574,32,23
1592206295,9007,49
1592207064,52,31
1592207734,33,21
1592208454,28,21
1592208965,6,0
1592209174,37,18
1592209894,26,11
1592210614,24,21
1592210887,23,13
1592211335,30,12
1592212053,38,14
1592212820,40,30
1592213493,24,18
1592214261,51,15
1592214730,11,26
1592214934,30,7
1592215654,35,13
1592216374,23,18
1592216648,14,0
1592217094,21,27
1592217813,29,15
1592218581,43,39
1592219254,25,14
1592219974,26,17
1592220489,11,0
1592220694,31,24
1592221414,29,11
1592222134,40,16
1592222413,21,13
1592222854,37,9
1592223574,29,10
1592224347,48,29
1592225014,17,32
1592225734,32,43
1592226512,38,50
1592227174,18,38
1592227894,27,22
1592228409,19,0
1592228614,26,33
1592228887,17,1
1592229334,25,28
1592230054,32,33
1592230328,15,17
1592230774,41,39
1592231495,31,32
1592232563,62,41
1592232934,25,29
1592233893,55,40
1592234854,42,56
1592235574,720,32
1592236294,40,32
1592236565,19,11
1592237254,60,43
1592237973,32,24
1592238484,14,5
1592238694,28,24
1592239414,30,44
1592240133,30,26
1592240413,23,17
1592240855,40,36
1592241573,33,28
1592242347,50,34
1592243014,22,49
1592243525,16,2
1592243734,36,29
1592244250,23,7
1592244454,33,25
1592245174,25,31
1592245894,28,27
1592246167,23,12
1592246614,42,35
1592247335,32,23
1592248054,30,31
1592248774,44,36
1592249047,3,0
1592249494,35,28
1592250005,24,11
1592250213,42,27
1592250934,32,40
1592251655,20,40
1592252171,27,19
1592252374,40,48
1592253094,33,35
1592253814,27,30
1592254088,27,0
1592254534,29,19
1592255255,20,31
1592256021,52,49
1592256694,48,29
1592257414,30,34
1592257931,15,8
1592258180,47,31
1592258854,40,29
1592259574,45,17
1592259847,8,12
1592260294,44,32
1592261014,25,32
1592261782,47,43
1592262454,35,28
1592263174,29,29
1592263685,19,16
1592263895,23,33
1592264614,19,35
1592265334,23,30
1592265615,12,7
1592266054,24,29
1592266774,42,28
1592267549,55,53
1592268214,30,33
1592268934,29,25
1592269453,20,8
1592269654,43,22
1592270374,28,32
