DateTime,Entries,UniqueIPs
1591512005,6465,6465
1591513938,6498,6498
1591515845,6506,6506
1591517765,6492,6492
1591519697,6502,6502
1591521605,6493,6493
1591523524,6486,6486
1591525460,3218,3218
1591527365,3210,3210
1591529284,4580,4580
1591531227,4598,4598
1591533131,4593,4593
1591535046,4588,4588
1591536981,4579,4579
1591538894,4579,4579
1591540826,4585,4585
1591542731,4576,4576
1591544645,4594,4594
1591546573,4616,4616
1591548486,4597,4597
1591550413,4577,4577
1591552336,4601,4601
1591554245,4650,4650
1591556162,4675,4675
1591558668,4691,4691
1591560117,4714,4714
1591561618,4715,4715
1591563229,4750,4750
1591564671,4810,4810
1591566108,4827,4827
1591567560,4840,4840
1591568993,4850,4850
1591570812,6065,6065
1591572742,6034,6034
1591574647,6034,6034
1591576567,6053,6053
1591578502,6044,6044
1591580409,6048,6048
1591582347,6041,6041
1591584246,6031,6031
1591586165,6066,6066
1591588097,6120,6120
1591590008,6131,6131
1591591926,6151,6151
1591593858,6178,6178
1591595767,6194,6194
1591597685,6234,6234
1591599630,6270,6270
1591601532,6270,6270
1591603447,6281,6281
1591605623,6271,6271
1591607532,6281,6281
1591609447,6287,6287
1591611364,3352,3352
1591613290,3351,3351
1591615215,4573,4573
1591617128,4596,4596
1591619047,4655,4655
1591620972,4658,4658
1591622882,4691,4691
1591624810,4728,4728
1591626741,4757,4757
1591628909,4795,4795
1591630806,4827,4827
1591632728,4844,4844
1591634656,4853,4853
1591636563,4883,4883
1591638482,4903,4903
1591640414,4949,4949
1591642324,4972,4972
1591644245,4997,4997
1591646174,5034,5034
1591648083,5064,5064
1591650012,5090,5090
1591651947,5117,5117
1591653917,5174,5174
1591655781,5179,5179
1591657695,6223,6223
1591659607,6239,6239
1591661541,6248,6248
1591663448,6305,6305
1591665365,6328,6328
1591667298,6341,6341
1591669207,6365,6365
1591671128,6393,6393
1591673058,6426,6426
1591674965,6449,6449
1591676885,6457,6457
1591678829,6461,6461
1591680729,6481,6481
1591682659,6496,6496
1591684566,6522,6522
1591686511,6527,6527
1591688409,6525,6525
1591690329,6562,6562
1591692298,6576,6576
1591694165,6594,6594
1591696085,6606,6606
1591698015,3548,3548
1591699931,3561,3561
1591701847,5036,5036
1591703777,5069,5069
1591705687,5067,5067
1591707629,5072,5072
1591709532,5083,5083
1591711448,5100,5100
1591713379,5139,5139
1591715294,5137,5137
1591717209,5149,5149
1591719140,5152,5152
1591721046,5196,5196
1591722966,5231,5231
1591724899,5236,5236
1591726808,5212,5212
1591728728,5195,5195
1591730658,5202,5202
1591732565,5246,5246
1591734484,5271,5271
1591736422,5282,5282
1591738695,5249,5249
1591740722,5271,5271
1591742647,5302,5302
1591744570,6618,6618
1591746488,6628,6628
1591748420,6611,6611
1591750329,6610,6610
1591752249,6630,6630
1591754179,6667,6667
1591756086,6676,6676
1591758021,6687,6687
1591760008,6678,6678
1591761846,6682,6682
1591763769,6717,6717
1591765703,6749,6749
1591767607,6739,6739
1591769528,6698,6698
1591771457,6664,6664
1591773364,6629,6629
1591775284,6655,6655
1591777217,6668,6668
1591779128,6687,6687
1591781049,6653,6653
1591782974,6652,6652
1591784883,3360,3360
1591786807,4859,4859
1591788743,4870,4870
1591790651,4868,4868
1591792814,4833,4833
1591794744,4840,4840
1591796648,4847,4847
1591798580,4854,4854
1591800740,4865,4865
1591802648,4835,4835
1591804570,4824,4824
1591806497,4834,4834
1591808407,4853,4853
1591810330,4847,4847
1591812262,4848,4848
1591814166,4834,4834
1591816104,4834,4834
1591818003,4850,4850
1591819923,4867,4867
1591821857,4851,4851
1591823763,4856,4856
1591825682,4855,4855
1591827615,4839,4839
1591829526,4828,4828
1591831450,6117,6117
1591833376,6117,6117
1591835284,6089,6089
1591837219,6094,6094
1591839142,6084,6084
1591841047,6086,6086
1591842967,6110,6110
1591844902,6102,6102
1591846811,6086,6086
1591848729,6103,6103
1591850660,6107,6107
1591852564,6111,6111
1591854489,6117,6117
1591856424,6075,6075
1591858341,6094,6094
1591860246,6100,6100
1591862177,6116,6116
1591864088,6096,6096
1591866012,6107,6107
1591868012,6099,6099
1591869852,2954,2954
1591871767,2960,2960
1591873703,4333,4333
1591875606,4341,4341
1591877546,4384,4384
1591879450,4388,4388
1591881365,4441,4441
1591883295,4420,4420
1591885205,4445,4445
1591887127,4441,4441
1591889058,4425,4425
1591890976,4402,4402
1591893251,4400,4400
1591895067,4381,4381
1591896965,4399,4399
1591898889,4407,4407
1591900816,4417,4417
1591902729,4441,4441
1591904646,4454,4454
1591906569,4452,4452
1591908488,4477,4477
1591910418,4503,4503
1591912324,4507,4507
1591914253,4528,4528
1591916166,4506,4506
1591918086,5706,5706
1591920023,5723,5723
1591921926,5720,5720
1591923847,5726,5726
1591925778,5720,5720
1591927689,5689,5689
1591929608,5716,5716
1591931537,5710,5710
1591933446,5690,5690
1591935369,5698,5698
1591937301,5659,5659
1591939204,5643,5643
1591941127,5651,5651
1591943061,5664,5664
1591944969,5661,5661
1591946884,5680,5680
1591948820,5663,5663
1591950726,5669,5669
1591952894,5662,5662
1591954805,5678,5678
1591956742,2947,2947
1591958647,2941,2941
1591960812,4255,4255
1591962726,4270,4270
1591964659,4280,4280
1591966566,4271,4271
1591968484,4276,4276
1591970423,4297,4297
1591972323,4278,4278
1591974498,4270,4270
1591976421,4263,4263
1591978326,4252,4252
1591980260,4283,4283
1591982169,4299,4299
1591984089,4312,4312
1591986016,4330,4330
1591987925,4317,4317
1591989847,4323,4323
1591991776,4351,4351
1591993685,4367,4367
1591995612,4374,4374
1591997535,4363,4363
1591999704,4363,4363
1592001605,4410,4410
1592003778,5612,5612
1592005690,5602,5602
1592007619,5612,5612
1592009523,5623,5623
1592011462,5613,5613
1592013366,5651,5651
1592015290,5648,5648
1592017219,5656,5656
1592019134,5661,5661
1592021060,5653,5653
1592022969,5668,5668
1592024906,5691,5691
1592026808,5700,5700
1592028735,5694,5694
1592030662,5695,5695
1592032574,5668,5668
1592034492,5680,5680
1592036418,5692,5692
1592038331,5665,5665
1592040249,5646,5646
1592042183,5632,5632
1592044087,2900,2900
1592046008,4086,4086
1592047939,4108,4108
1592049851,4115,4115
1592051767,4144,4144
1592053701,4176,4176
1592055611,4214,4214
1592057531,4232,4232
1592059461,4242,4242
1592061382,4244,4244
1592063304,4266,4266
1592065210,4270,4270
1592067129,4295,4295
1592069061,4301,4301
1592070969,4316,4316
1592072885,4307,4307
1592074818,4303,4303
1592076732,4309,4309
1592078649,4325,4325
1592080578,4354,4354
1592082489,4345,4345
1592084408,4323,4323
1592086348,4354,4354
1592088252,4376,4376
1592090172,5447,5447
1592092105,5453,5453
1592094012,5490,5490
1592095930,5508,5508
1592097862,5596,5596
1592099771,5604,5604
1592101687,5588,5588
1592103622,5586,5586
1592105533,5590,5590
1592107453,5596,5596
1592109380,5608,5608
1592111303,5610,5610
1592113207,5620,5620
1592115144,5614,5614
1592117052,5647,5647
1592118972,5666,5666
1592120903,5671,5671
1592122808,5641,5641
1592124728,5638,5638
1592126663,5627,5627
1592128568,5686,5686
1592130489,3027,3027
1592132421,4263,4263
1592134333,4295,4295
1592136499,4372,4372
1592138652,4421,4421
1592140595,4456,4456
1592142988,4444,4444
1592144890,4438,4438
1592146837,4433,4433
1592148731,4422,4422
1592150893,4518,4518
1592152804,4604,4604
1592154739,4603,4603
1592156646,4594,4594
1592158565,4605,4605
1592160497,4592,4592
1592162403,4663,4663
1592164324,4718,4718
1592166261,4748,4748
1592168164,4750,4750
1592170086,4771,4771
1592172026,4839,4839
1592173931,4904,4904
1592176097,5990,5990
1592178014,5983,5983
1592179943,5983,5983
1592181849,5973,5973
1592183787,6022,6022
1592185689,6029,6029
1592187606,6035,6035
1592189541,6019,6019
1592191449,6028,6028
1592193369,6032,6032
1592195302,6050,6050
1592197211,6057,6057
1592199133,6045,6045
1592201312,6050,6050
1592203207,6052,6052
1592205126,6079,6079
1592207063,6114,6114
1592208964,6124,6124
1592210886,6146,6146
1592212819,6209,6209
1592214728,6217,6217
1592216646,3456,3456
1592218580,3463,3463
1592220487,4812,4812
1592222411,4863,4863
1592224346,4861,4861
1592226511,4879,4879
1592228407,4935,4935
1592230326,4968,4968
1592232561,5003,5003
1592234557,5064,5064
1592236563,5074,5074
1592238482,5097,5097
1592240411,5135,5135
1592242345,5134,5134
1592244247,5143,5143
1592246164,5143,5143
1592248100,5135,5135
1592250003,5214,5214
1592252168,5259,5259
1592254086,5263,5263
1592256019,5265,5265
1592257929,5238,5238
1592259844,5245,5245
1592261782,5241,5241
1592263685,6394,6394
1592265616,6402,6402
1592267549,6434,6434
1592269453,6419,6419
1592271367,6479,6479
1592273310,6526,6526
1592275208,6577,6577
1592277129,6580,6580
1592279063,6603,6603
1592280969,6615,6615
1592282884,6662,6662
1592284825,6695,6695
1592286726,6713,6713
1592288668,6727,6727
1592290565,6711,6711
1592292489,6736,6736
1592294435,6766,6766
1592296331,6791,6791
1592298496,6784,6784
1592300409,6768,6768
1592302343,3519,3519
1592304247,3509,3509
1592306165,4873,4873
