DateTime,AddedIPs,RemovedIPs
1592041321,2,2
1592041921,2,24
1592042521,8,45
1592043122,7,0
1592043721,11,44
1592044321,9,0
1592044921,5,9
1592045521,2,0
1592046122,4,44
1592047322,2,36
1592048521,7,57
1592049121,7,0
1592049721,3,8
1592050322,10,0
1592051521,3,44
1592052121,8,0
1592052721,11,21
1592053321,3,0
1592054521,8,47
1592055721,4,27
1592056321,5,19
1592056922,3,0
1592057521,5,16
1592058122,2,6
1592058721,5,18
1592059321,10,18
1592059922,9,0
1592060521,7,3
1592061121,7,17
1592061721,5,0
1592062921,3,37
1592064121,2,45
1592065322,6,21
1592066521,2,36
1592067721,8,34
1592068921,4,48
1592069521,5,69
1592070721,7,2
1592071321,2,13
1592072521,9,53
1592073122,4,0
1592073721,7,32
1592074922,2,0
1592076121,4,61
1592076722,2,0
1592077321,6,0
1592078521,12,0
1592079121,3,41
1592080321,1,41
1592080921,10,17
1592082121,2,0
1592082721,5,25
1592083321,15,0
1592083921,3,2
1592084522,16,34
1592085721,9,16
1592086321,3,22
1592086921,2,56
1592088122,21,0
1592088721,3,47
1592090521,14,0
1592091121,6,1
1592091721,5,0
1592092321,3,29
1592093521,3,45
1592094122,4,0
1592095321,10,48
1592095921,9,26
1592097121,5,38
1592097722,2,0
1592098321,2,29
1592098921,9,0
1592100121,20,32
1592101321,7,52
1592102522,19,55
1592103721,10,0
1592104921,8,42
1592105521,6,0
1592106121,2,0
1592107321,13,22
1592108521,1,30
1592109721,2,19
1592110321,10,0
1592110921,3,32
1592112121,4,4
1592112722,5,30
1592113321,2,0
1592114522,2,46
1592115122,7,0
1592115721,3,11
1592116921,2,0
1592118122,3,6
1592118722,5,35
1592119921,2,59
1592120521,2,14
1592121721,5,33
1592122922,12,0
1592124121,2,33
1592124722,4,5
1592125321,1,28
1592125922,13,11
1592127122,0,14
1592127721,1,0
1592128321,1,32
1592128921,4,20
1592130121,11,28
1592131321,0,6
1592131921,2,27
1592132521,4,22
1592133121,8,37
1592134321,11,11
1592134922,8,0
1592136121,17,45
1592136721,3,0
1592137321,4,57
1592137921,7,0
1592138521,0,11
1592139121,1,11
1592139721,25,0
1592140321,5,29
1592140922,1,13
1592142121,0,23
1592142721,4,0
1592143921,4,5
1592144521,2,3
1592145721,2,3
1592146321,3,0
1592146921,4,0
1592147521,5,44
1592148121,13,7
1592149322,5,77
1592149922,7,0
1592150521,9,40
1592151121,3,0
1592151721,7,27
1592152322,3,21
1592152921,7,0
1592153521,4,56
1592154121,3,0
1592154722,3,17
1592155921,2,24
1592156521,3,0
1592157721,2,44
1592158321,8,10
1592158922,13,36
1592159521,8,0
1592160121,9,32
1592161322,9,21
1592162521,4,0
1592163121,1,11
1592163721,1,0
1592164921,19,74
1592165522,10,0
1592166121,11,0
1592167321,3,63
1592168521,4,62
1592169721,14,10
1592170921,5,13
1592172121,11,7
1592173321,9,0
1592174521,10,84
1592175721,2,8
1592176921,0,52
1592178121,12,32
1592179321,1,36
1592180521,6,21
1592181121,5,1
1592181721,6,0
1592182921,9,38
1592183521,1,0
1592184121,3,18
1592185322,7,93
1592185921,7,0
1592187121,4,13
1592187721,6,0
1592188321,3,17
1592188921,11,15
1592190122,9,0
1592191321,0,49
1592191921,13,16
1592192522,17,0
1592193121,0,30
1592194321,1,0
1592194922,2,0
1592196121,23,44
1592197321,3,70
1592198521,2,56
1592199721,1,34
1592200921,2,17
1592201522,5,0
1592202122,8,0
1592203322,2,12
1592204521,0,29
1592205721,1,22
1592206922,6,13
1592208121,19,16
1592209321,6,35
1592209922,5,56
1592211122,5,0
1592211722,2,0
1592212921,6,13
1592213522,6,17
1592214121,7,15
1592215321,13,2
1592215921,4,0
1592216521,18,24
1592217121,1,0
1592217721,7,17
1592218921,1,34
1592220121,1,10
1592221321,14,55
1592221921,7,0
1592222521,3,0
1592223121,16,22
1592223721,9,0
1592224921,4,86
1592225521,7,5
1592226121,0,8
1592227321,2,0
1592227922,0,45
1592229121,7,48
1592229721,3,0
1592230322,13,38
1592231522,2,53
1592232122,5,0
1592232721,6,38
1592233921,2,38
1592234521,8,14
1592235721,0,1
1592236321,2,40
1592236921,6,59
1592237522,7,4
1592238721,2,0
1592239321,4,2
1592240522,6,48
1592241122,4,0
1592242321,7,39
1592242921,4,0
1592244122,9,20
1592245321,2,47
1592245921,9,0
1592246521,3,62
1592247722,5,0
1592248321,3,3
1592248922,1,6
1592249521,3,6
1592250721,0,10
1592251321,5,12
1592251921,6,0
1592252521,1,19
1592253721,5,27
1592254922,3,11
1592256122,14,8
1592256722,8,24
1592257321,2,0
1592258521,1,16
1592259721,3,61
1592260921,5,2
1592262121,1,14
1592263322,12,1
1592264522,2,21
1592265721,10,20
1592266322,11,45
1592267521,5,20
1592268121,4,0
1592269321,3,22
1592270522,12,0
1592271721,2,19
1592272921,3,14
1592273521,2,36
1592275321,6,0
1592276522,1,32
1592277121,2,51
1592278321,12,33
1592278922,2,0
1592280122,2,27
1592280721,4,34
1592281321,7,5
1592282521,8,1
1592283721,4,25
1592284921,7,61
1592285521,4,0
1592286122,8,0
1592287321,4,3
1592287921,6,39
1592288521,5,20
1592289722,2,42
1592290921,2,26
1592291522,1,1
1592292722,10,18
1592293321,6,0
1592294521,3,11
1592295721,5,28
1592296321,2,39
1592297521,4,5
1592298721,3,2
1592299321,20,0
1592299921,3,0
1592301121,16,37
1592301721,2,0
1592302921,7,3
1592304121,4,1
1592304721,3,27
1592305321,12,22
1592305921,1,21
1592307121,3,0
1592308321,1,16
1592309521,13,24
1592310121,1,16
1592311321,3,19
1592312521,2,17
1592313721,9,3
1592314921,19,30
1592315521,2,10
1592316121,7,13
1592316722,2,0
1592317321,8,24
1592317921,2,0
1592318521,6,11
1592319722,30,14
1592320321,0,13
1592320921,4,0
1592321521,2,16
1592322122,1,41
1592322721,0,24
1592323321,3,2
1592324521,4,6
1592325121,6,0
1592326321,10,49
1592326921,1,3
1592327521,3,0
1592328122,5,9
1592328721,4,10
1592329322,1,0
1592329921,7,0
1592330522,5,33
1592331721,2,3
1592332321,5,0
1592332921,0,13
1592334122,0,30
1592334721,12,0
1592335322,13,15
1592336522,4,34
1592337721,9,22
1592338921,5,43
1592340121,0,74
1592340721,2,0
1592341322,7,30
1592342522,6,39
1592343122,4,0
1592343721,8,23
1592344921,9,30
1592345522,1,9
1592346721,1,7
1592347322,1,0
1592347921,4,51
1592349121,10,2
1592350321,1,51
1592350922,1,5
1592352121,3,55
1592352721,6,0
1592353321,18,0
1592354522,12,115
1592355722,2,0
1592356921,2,3
1592357521,1,35
1592358121,15,0
1592359321,2,7
1592360521,0,85
1592361721,8,0
1592362921,2,34
1592364122,16,8
1592364721,4,107
1592365921,14,0
1592366521,10,13
1592367121,0,24
1592368322,7,4
1592368921,3,0
1592370121,13,8
1592371321,0,6
1592372521,8,8
1592373122,0,71
1592373721,1,29
1592374921,1,0
1592375521,9,19
1592376722,8,45
1592377322,1,0
1592378521,2,0
1592379721,10,20
1592380922,10,40
1592382121,3,33
1592383321,1,15
1592384521,6,6
1592385122,2,0
1592385721,3,14
1592386922,5,10
1592387521,6,46
1592388121,0,19
1592388722,6,0
1592389321,4,1
1592389921,8,0
1592390521,7,11
1592391121,4,8
1592391721,5,0
1592392321,11,11
1592392921,5,2
1592393522,5,21
1592394121,14,28
1592394721,6,0
1592395321,8,0
1592395921,3,54
1592396521,2,0
1592397121,4,32
1592397722,4,0
1592398921,2,2
1592399522,13,0
1592400121,3,16
1592401322,4,47
1592401921,4,40
1592402521,2,0
1592403721,1,58
1592404921,6,79
1592405521,4,0
1592406121,1,0
1592406721,2,13
1592407322,7,21
1592408521,6,49
1592409721,5,40
1592410321,6,0
1592410922,1,0
1592412122,0,27
1592413321,0,37
1592414521,5,84
1592415121,12,0
1592415721,5,0
1592416921,4,76
1592418121,7,0
1592419321,2,33
1592419921,1,52
1592421121,3,0
1592421721,4,52
1592422921,1,51
1592423521,2,0
1592424121,8,50
1592425321,11,6
1592426522,6,68
1592427722,8,41
1592428321,5,4
1592428921,4,0
1592429521,6,44
1592430121,1,0
1592430721,5,27
1592431321,5,0
1592432522,7,90
1592433121,1,0
1592433721,0,44
1592434922,9,51
1592435521,17,7
1592436121,18,0
1592437322,11,24
1592437921,2,49
1592439721,4,26
1592440921,9,1
1592442122,7,61
1592443321,16,57
1592443922,3,25
1592445121,8,28
1592445721,3,0
1592446922,4,33
1592448121,16,23
1592448721,5,1
1592449321,4,25
1592450521,6,0
1592451121,10,26
1592451721,1,16
1592452922,7,0
1592454121,8,6
1592455321,12,64
1592455921,2,0
1592456522,9,0
1592457721,2,24
1592458921,0,16
1592460122,6,22
1592460722,6,38
1592461321,5,0
1592461922,4,5
1592463121,6,79
1592463721,0,24
1592464921,6,0
1592466122,5,28
1592467321,1,23
1592467921,7,36
1592468521,3,0
1592469121,7,16
1592469722,2,0
1592470921,7,17
1592472121,5,34
1592473321,5,75
1592474522,10,5
1592475121,6,31
