DateTime,AddedIPs,RemovedIPs
1591954922,0,1
1591956121,3,0
1591959121,0,2
1591960321,1,53
1591960921,0,10
1591961521,4,0
1591962121,0,8
1591962721,0,8
1591964521,0,11
1591965121,0,3
1591966921,1,0
1591968721,1,2
1591969321,2,2
1591969921,1,2
1591970524,0,6
1591971721,2,1
1591972922,1,11
1591974121,2,0
1591974721,1,0
1591976521,1,0
1591977721,6,3
1591978921,11,1
1591979521,0,1
1591981321,2,0
1591982521,0,2
1591983121,1,0
1591984322,2,1
1591984921,1,1
1591986121,7,6
1591987922,7,4
1591988521,5,0
1591989721,19,10
1591990921,3,37
1591991521,1,0
1591992121,2,0
1591993322,1,0
1591993921,1,0
1591994521,1,0
1591995721,2,2
1591996921,1,0
1591998122,3,4
1591998721,4,0
1591999321,0,21
1592000521,4,0
1592001721,5,2
1592002921,1,5
1592003522,2,0
1592004721,3,2
1592005321,0,2
1592005921,4,0
1592006521,5,0
1592007721,5,1
1592008321,2,0
1592008921,0,2
1592010121,2,2
1592011322,2,0
1592012521,2,1
1592013721,3,8
1592014921,0,2
1592015521,2,2
1592016721,6,2
1592017321,0,2
1592017921,1,0
1592019121,1,1
1592019721,1,0
1592021521,2,2
1592022721,0,3
1592023921,1,1
1592024521,0,1
1592025722,3,4
1592026922,3,2
1592028121,1,0
1592028721,3,2
1592030522,4,2
1592031121,1,2
1592033521,1,2
1592034121,0,3
1592037721,3,0
1592038922,2,0
1592039521,0,2
1592040722,4,1
1592041921,2,1
1592042521,1,0
1592044921,2,0
1592045521,0,1
1592046122,0,1
1592047322,0,1
1592048521,1,0
1592050322,12,3
1592051521,2,7
1592052121,1,6
1592052721,1,0
1592053321,1,0
1592054521,2,2
1592055721,4,3
1592056321,1,0
1592056921,1,0
1592057521,0,9
1592059321,1,3
1592060521,2,4
1592061121,0,1
1592062921,3,3
1592064121,7,1
1592065322,2,5
1592066521,3,2
1592067121,5,1
1592067721,1,1
1592068321,2,0
1592069521,2,0
1592071321,3,1
1592072521,1,2
1592074922,0,2
1592075521,1,0
1592076722,1,1
1592077321,0,12
1592078521,3,27
1592079721,5,9
1592080921,2,0
1592082121,1,0
1592083321,2,0
1592083921,1,4
1592085121,3,1
1592086321,4,1
1592087521,4,1
1592088721,2,6
1592090521,2,0
1592091721,6,5
1592094122,2,3
1592094721,0,10
1592095921,1,0
1592097722,0,10
1592098921,3,0
1592100121,2,2
1592101321,2,4
1592102522,2,6
1592103721,3,2
1592104321,1,2
1592105521,1,3
1592107321,0,1
1592109721,0,3
1592110921,1,2
1592111521,1,0
1592112121,1,2
1592113321,1,1
1592114522,1,1
1592115122,1,0
1592115721,0,1
1592116921,2,0
1592118722,1,0
1592119921,1,2
1592120521,0,3
1592121721,5,0
1592122922,1,4
1592124121,0,4
1592125921,0,1
1592126521,0,1
1592128321,1,0
1592128921,0,1
1592130121,0,1
1592131921,2,3
1592133121,1,1
1592134922,1,0
1592135521,1,0
1592136121,0,1
1592137321,1,4
1592138521,3,3
1592139721,4,1
1592140321,6,0
1592142121,2,3
1592142721,0,1
1592143921,1,0
1592145721,1,4
1592146921,1,0
1592147521,0,3
1592148721,0,1
1592149922,0,1
1592150521,0,2
1592151121,3,3
1592152322,0,2
1592153521,2,3
1592155321,4,1
1592155921,1,0
1592157721,2,3
1592158922,2,1
1592159521,1,4
1592160121,2,0
1592161322,2,1
1592161921,2,0
1592163121,1,3
1592163721,1,0
1592164321,0,2
1592164921,1,0
1592165521,0,1
1592167321,3,3
1592168521,2,3
1592169721,3,0
1592170321,0,1
1592172121,1,2
1592173321,4,0
1592174521,0,1
1592175121,0,1
1592176921,0,4
1592178121,1,0
1592179321,2,3
1592180521,0,5
1592181121,4,0
1592181721,1,5
1592182921,1,5
1592183521,2,0
1592184721,3,1
1592185921,2,1
1592186522,1,0
1592187721,1,1
1592188321,0,2
1592188921,1,1
1592190122,0,2
1592191321,4,0
1592192522,1,1
1592193721,2,0
1592194321,0,7
1592195521,3,0
1592196721,0,2
1592198521,1,1
1592200321,0,1
1592201522,1,1
1592202122,1,2
1592205721,5,4
1592206922,0,2
1592208121,3,0
1592209321,5,3
1592210521,0,2
1592211121,2,0
1592211722,0,1
1592212921,3,5
1592213522,1,0
1592214121,2,0
1592214721,1,3
1592215921,3,3
1592217121,5,4
1592218321,30,2
1592218921,3,0
1592220121,1,0
1592221321,7,3
1592222521,2,1
1592223121,1,2
1592223721,1,0
1592224321,1,4
1592227321,0,1
1592228521,2,0
1592230322,5,2
1592231522,1,2
1592232721,0,1
1592233921,4,1
1592234521,2,1
1592235721,4,0
1592236321,2,1
1592237522,8,0
1592238721,4,3
1592239321,3,4
1592239922,3,4
1592241721,6,2
1592242321,0,1
1592243521,5,2
1592244122,0,2
1592245321,2,1
1592246521,1,4
1592248321,2,2
1592248922,4,0
1592250122,0,1
1592250721,0,3
1592251921,1,0
1592252521,1,0
1592253721,2,0
1592254922,1,4
1592256122,5,3
1592256722,0,1
1592257321,4,5
1592257921,0,4
1592258521,2,0
1592259721,5,3
1592260921,1,5
1592262121,0,2
1592262721,2,2
1592263322,0,3
1592265122,0,1
1592266322,3,3
1592266921,2,2
1592269321,0,6
1592270522,2,4
1592271721,2,5
1592272921,2,2
1592273521,4,0
1592274721,1,1
1592276522,3,3
1592278321,1,3
1592279521,0,5
1592281321,3,1
1592282521,1,6
1592283721,1,0
1592284921,4,1
1592285521,2,5
1592287921,0,1
1592288521,0,5
1592289722,2,0
1592290921,1,3
1592292121,2,0
1592293321,1,2
1592294521,1,5
1592295721,2,2
1592296921,2,0
1592298122,0,1
1592298721,0,2
1592299321,1,0
1592299921,2,0
1592300521,1,1
1592301121,1,2
1592302321,18,2
1592302921,4,0
1592303522,0,1
1592304121,3,4
1592304721,1,0
1592305321,2,0
1592305921,2,4
1592306522,0,2
1592307721,5,1
1592308921,0,2
1592309521,1,0
1592310722,0,1
1592311321,0,3
1592312521,61,1
1592313721,1,0
1592314321,0,3
1592315521,3,1
1592316121,2,0
1592317321,1,0
1592317921,1,5
1592319722,1,2
1592320321,0,3
1592320921,4,0
1592322122,3,0
1592322721,2,4
1592323321,5,0
1592324521,2,1
1592325121,4,1
1592326321,13,5
1592326921,2,0
1592327521,2,3
1592328122,3,3
1592328721,0,3
1592330522,1,0
1592331721,0,1
1592333522,1,2
1592335322,1,2
1592335921,1,1
1592337121,0,1
1592338921,1,5
1592340121,6,6
1592340721,1,0
1592341322,7,0
1592342521,2,5
1592343721,1,3
1592344321,5,1
1592345522,3,2
1592347322,1,4
1592348521,6,3
1592349721,0,4
1592350922,5,3
1592352121,2,7
1592352721,7,0
1592353321,0,3
1592353921,5,1
1592354522,7,0
1592355722,7,5
1592356321,3,0
1592357521,0,3
1592358121,1,4
1592359321,0,3
1592360521,0,3
1592361721,5,0
1592362921,4,5
1592363521,3,0
1592364721,2,4
1592365321,0,1
1592366521,2,6
1592367121,3,0
1592368322,2,9
1592368921,1,0
1592370121,1,2
1592370721,0,7
1592371921,2,2
1592373122,1,2
1592374921,1,5
1592375521,0,9
1592376121,0,7
1592377322,2,1
1592378521,0,3
1592379122,2,3
1592380321,3,0
1592380922,4,0
1592382121,2,2
1592383321,2,4
1592383921,5,6
1592385122,2,0
1592385721,2,0
1592386321,1,4
1592386922,1,0
1592387521,0,6
1592388121,0,10
1592388722,1,0
1592389321,1,0
1592390521,4,4
1592391121,2,0
1592392321,2,1
1592393522,1,2
1592394121,0,4
1592394721,1,0
1592395321,0,2
1592396521,2,2
1592397121,2,0
1592398321,0,2
1592398921,0,1
1592400121,4,3
1592400721,1,0
1592401322,0,3
1592402521,2,1
1592403721,1,1
1592404921,0,3
1592405521,1,0
1592406121,0,3
1592407322,1,2
1592409122,1,3
1592410321,2,4
1592411521,5,0
1592413321,25,0
1592413922,36,6
1592415121,8,1
1592416321,1,2
1592416921,1,3
1592419921,1,0
1592420521,1,3
1592422921,5,2
1592424121,6,0
1592425321,1,5
1592425921,5,5
1592426522,3,2
1592427121,1,0
1592427722,0,1
1592428321,1,0
1592428921,1,7
1592429521,2,0
1592430121,0,7
1592431321,0,3
1592431922,2,0
1592432522,2,0
1592433721,2,5
1592434322,4,0
1592434922,0,2
1592436121,3,0
1592437322,2,5
1592438521,1,3
1592439721,3,6
1592440321,2,0
1592440921,2,3
1592442722,5,1
1592443321,7,0
1592443922,2,4
1592444521,1,1
1592445121,1,0
1592446922,2,0
1592447521,0,6
1592448121,1,1
1592449321,0,5
1592450521,1,0
1592451721,0,4
1592452322,1,1
1592453521,1,0
1592454121,0,3
1592455921,3,4
1592457122,6,4
1592457721,0,2
1592458321,0,1
1592458921,1,6
1592460122,3,0
1592460722,2,4
1592461321,1,0
1592462522,1,0
1592463121,3,5
1592464921,1,0
1592466122,3,3
1592466721,0,5
1592467921,35,0
1592468521,5,0
1592469121,0,3
1592469722,9,1
1592471521,4,7
1592472121,2,12
1592473321,4,16
1592474522,1,2
1592475121,5,0
1592475722,1,6
